tag,stemtag,survey.ID,year,month,day
80398,1,NA,NA,NA,NA
80401,1,NA,NA,NA,NA
80554,1,NA,NA,NA,NA
80559,1,NA,NA,NA,NA
80615,1,NA,NA,NA,NA
80628,1,NA,NA,NA,NA
80631,1,NA,NA,NA,NA
82125,1,NA,NA,NA,NA
82138,1,NA,NA,NA,NA
82203,1,NA,NA,NA,NA
82223,1,NA,NA,NA,NA
82226,1,NA,NA,NA,NA
82284,1,NA,NA,NA,NA
82292,1,NA,NA,NA,NA
82298,1,NA,NA,NA,NA
82326,1,NA,NA,NA,NA
82357,1,NA,NA,NA,NA
82360,1,NA,NA,NA,NA
82365,1,NA,NA,NA,NA
82368,1,NA,NA,NA,NA
82419,1,NA,NA,NA,NA
82421,1,NA,NA,NA,NA
82422,1,NA,NA,NA,NA
82434,1,NA,NA,NA,NA
90043,1,NA,NA,NA,NA
90084,1,NA,NA,NA,NA
90162,1,NA,NA,NA,NA
90311,1,NA,NA,NA,NA
90354,1,NA,NA,NA,NA
90530,1,NA,NA,NA,NA
90612,1,NA,NA,NA,NA
90660,1,NA,NA,NA,NA
90752,1,NA,NA,NA,NA
91435,1,NA,NA,NA,NA
91451,1,NA,NA,NA,NA
91474,1,NA,NA,NA,NA
91476,1,NA,NA,NA,NA
91477,1,NA,NA,NA,NA
91486,1,NA,NA,NA,NA
92018,1,NA,NA,NA,NA
92112,1,NA,NA,NA,NA
92140,1,NA,NA,NA,NA
92141,1,NA,NA,NA,NA
92237,1,NA,NA,NA,NA
92238,1,NA,NA,NA,NA
92280,1,NA,NA,NA,NA
92347,1,NA,NA,NA,NA
92393,1,NA,NA,NA,NA
92414,1,NA,NA,NA,NA
92466,1,NA,NA,NA,NA
92487,1,NA,NA,NA,NA
92488,1,NA,NA,NA,NA
92545,1,NA,NA,NA,NA
92546,1,NA,NA,NA,NA
92547,1,NA,NA,NA,NA
100011,1,NA,NA,NA,NA
100516,1,NA,NA,NA,NA
100562,1,NA,NA,NA,NA
100612,1,NA,NA,NA,NA
100754,1,NA,NA,NA,NA
100771,1,NA,NA,NA,NA
100905,1,NA,NA,NA,NA
100906,1,NA,NA,NA,NA
100955,1,NA,NA,NA,NA
100960,1,NA,NA,NA,NA
101111,1,NA,NA,NA,NA
101118,1,NA,NA,NA,NA
101223,1,NA,NA,NA,NA
101244,1,NA,NA,NA,NA
101310,1,NA,NA,NA,NA
101312,1,NA,NA,NA,NA
102148,1,NA,NA,NA,NA
102149,1,NA,NA,NA,NA
102150,1,NA,NA,NA,NA
102154,1,NA,NA,NA,NA
102177,1,NA,NA,NA,NA
102199,1,NA,NA,NA,NA
102258,1,NA,NA,NA,NA
102261,1,NA,NA,NA,NA
102262,1,NA,NA,NA,NA
102264,1,NA,NA,NA,NA
102303,1,NA,NA,NA,NA
102348,1,NA,NA,NA,NA
102364,1,NA,NA,NA,NA
102365,1,NA,NA,NA,NA
102371,1,NA,NA,NA,NA
102438,1,NA,NA,NA,NA
102438,2,NA,NA,NA,NA
102439,1,NA,NA,NA,NA
102441,1,NA,NA,NA,NA
102442,1,NA,NA,NA,NA
102443,1,NA,NA,NA,NA
102444,1,NA,NA,NA,NA
102446,1,NA,NA,NA,NA
102446,2,NA,NA,NA,NA
102475,1,NA,NA,NA,NA
102501,1,NA,NA,NA,NA
102502,1,NA,NA,NA,NA
102509,1,NA,NA,NA,NA
110061,1,NA,NA,NA,NA
110680,1,NA,NA,NA,NA
110788,1,NA,NA,NA,NA
110791,1,NA,NA,NA,NA
110798,1,NA,NA,NA,NA
110901,1,NA,NA,NA,NA
111014,1,NA,NA,NA,NA
111030,1,NA,NA,NA,NA
111032,1,NA,NA,NA,NA
111032,2,NA,NA,NA,NA
111039,1,NA,NA,NA,NA
111041,1,NA,NA,NA,NA
111092,1,NA,NA,NA,NA
111093,1,NA,NA,NA,NA
111292,1,NA,NA,NA,NA
112014,1,NA,NA,NA,NA
112057,1,NA,NA,NA,NA
112130,1,NA,NA,NA,NA
112136,1,NA,NA,NA,NA
112137,1,NA,NA,NA,NA
112142,1,NA,NA,NA,NA
112250,1,NA,NA,NA,NA
112252,1,NA,NA,NA,NA
112262,1,NA,NA,NA,NA
112316,1,NA,NA,NA,NA
112336,1,NA,NA,NA,NA
112342,1,NA,NA,NA,NA
112350,1,NA,NA,NA,NA
112354,1,NA,NA,NA,NA
112462,1,NA,NA,NA,NA
112466,1,NA,NA,NA,NA
112467,1,NA,NA,NA,NA
112480,1,NA,NA,NA,NA
112481,1,NA,NA,NA,NA
112482,1,NA,NA,NA,NA
112698,1,NA,NA,NA,NA
120278,1,NA,NA,NA,NA
120755,1,NA,NA,NA,NA
120777,1,NA,NA,NA,NA
120781,1,NA,NA,NA,NA
120790,1,NA,NA,NA,NA
121195,1,NA,NA,NA,NA
121212,1,NA,NA,NA,NA
121221,1,NA,NA,NA,NA
121275,1,NA,NA,NA,NA
121291,1,NA,NA,NA,NA
121301,1,NA,NA,NA,NA
121305,1,NA,NA,NA,NA
121358,1,NA,NA,NA,NA
121367,1,NA,NA,NA,NA
121374,1,NA,NA,NA,NA
121438,1,NA,NA,NA,NA
122006,1,NA,NA,NA,NA
122009,1,NA,NA,NA,NA
122120,1,NA,NA,NA,NA
122121,1,NA,NA,NA,NA
122136,1,NA,NA,NA,NA
122184,1,NA,NA,NA,NA
122185,1,NA,NA,NA,NA
122189,1,NA,NA,NA,NA
122248,1,NA,NA,NA,NA
122303,1,NA,NA,NA,NA
122343,1,NA,NA,NA,NA
122427,1,NA,NA,NA,NA
122439,1,NA,NA,NA,NA
122450,1,NA,NA,NA,NA
122455,1,NA,NA,NA,NA
122458,1,NA,NA,NA,NA
122482,1,NA,NA,NA,NA
122486,1,NA,NA,NA,NA
122489,1,NA,NA,NA,NA
122492,1,NA,NA,NA,NA
122522,1,NA,NA,NA,NA
122561,1,NA,NA,NA,NA
130348,1,NA,NA,NA,NA
130718,1,NA,NA,NA,NA
130838,1,NA,NA,NA,NA
131009,1,NA,NA,NA,NA
131086,1,NA,NA,NA,NA
131087,1,NA,NA,NA,NA
131092,1,NA,NA,NA,NA
131096,1,NA,NA,NA,NA
131188,1,NA,NA,NA,NA
131227,1,NA,NA,NA,NA
131232,1,NA,NA,NA,NA
131233,1,NA,NA,NA,NA
131239,1,NA,NA,NA,NA
131272,1,NA,NA,NA,NA
131352,1,NA,NA,NA,NA
131364,1,NA,NA,NA,NA
132077,1,NA,NA,NA,NA
132171,1,NA,NA,NA,NA
132280,1,NA,NA,NA,NA
132302,1,NA,NA,NA,NA
132311,1,NA,NA,NA,NA
132321,1,NA,NA,NA,NA
132371,1,NA,NA,NA,NA
132508,1,NA,NA,NA,NA
132524,1,NA,NA,NA,NA
132529,1,NA,NA,NA,NA
132539,1,NA,NA,NA,NA
132542,1,NA,NA,NA,NA
132545,1,NA,NA,NA,NA
140467,1,NA,NA,NA,NA
140609,1,NA,NA,NA,NA
140646,1,NA,NA,NA,NA
140736,1,NA,NA,NA,NA
140751,1,NA,NA,NA,NA
140813,1,NA,NA,NA,NA
140818,1,NA,NA,NA,NA
140819,1,NA,NA,NA,NA
140821,1,NA,NA,NA,NA
140825,1,NA,NA,NA,NA
140829,1,NA,NA,NA,NA
140833,1,NA,NA,NA,NA
140872,1,NA,NA,NA,NA
141088,1,NA,NA,NA,NA
141216,1,NA,NA,NA,NA
142113,1,NA,NA,NA,NA
142380,1,NA,NA,NA,NA
142399,1,NA,NA,NA,NA
142521,1,NA,NA,NA,NA
142527,1,NA,NA,NA,NA
142548,1,NA,NA,NA,NA
142575,1,NA,NA,NA,NA
142656,1,NA,NA,NA,NA
142708,1,NA,NA,NA,NA
142727,1,NA,NA,NA,NA
142729,1,NA,NA,NA,NA
142730,1,NA,NA,NA,NA
142731,1,NA,NA,NA,NA
142732,1,NA,NA,NA,NA
142733,1,NA,NA,NA,NA
142735,1,NA,NA,NA,NA
143707,1,NA,NA,NA,NA
150756,1,NA,NA,NA,NA
152153,1,NA,NA,NA,NA
152513,1,NA,NA,NA,NA
152673,1,NA,NA,NA,NA
152701,1,NA,NA,NA,NA
160713,1,NA,NA,NA,NA
160742,1,NA,NA,NA,NA
160814,1,NA,NA,NA,NA
160862,1,NA,NA,NA,NA
160910,1,NA,NA,NA,NA
160985,1,NA,NA,NA,NA
161578,1,NA,NA,NA,NA
162293,1,NA,NA,NA,NA
162439,1,NA,NA,NA,NA
162446,1,NA,NA,NA,NA
162503,1,NA,NA,NA,NA
162541,1,NA,NA,NA,NA
162543,1,NA,NA,NA,NA
170175,1,NA,NA,NA,NA
170992,1,NA,NA,NA,NA
170994,1,NA,NA,NA,NA
171127,1,NA,NA,NA,NA
171254,1,NA,NA,NA,NA
171257,1,NA,NA,NA,NA
171262,1,NA,NA,NA,NA
171348,1,NA,NA,NA,NA
171358,1,NA,NA,NA,NA
171454,1,NA,NA,NA,NA
171456,1,NA,NA,NA,NA
171462,1,NA,NA,NA,NA
171505,1,NA,NA,NA,NA
171506,1,NA,NA,NA,NA
172201,1,NA,NA,NA,NA
172202,1,NA,NA,NA,NA
172203,1,NA,NA,NA,NA
172205,1,NA,NA,NA,NA
172248,1,NA,NA,NA,NA
172382,1,NA,NA,NA,NA
172416,1,NA,NA,NA,NA
172417,1,NA,NA,NA,NA
172418,1,NA,NA,NA,NA
172421,1,NA,NA,NA,NA
172423,1,NA,NA,NA,NA
172470,1,NA,NA,NA,NA
172472,1,NA,NA,NA,NA
172499,1,NA,NA,NA,NA
172556,1,NA,NA,NA,NA
172624,1,NA,NA,NA,NA
180235,1,NA,NA,NA,NA
180654,1,NA,NA,NA,NA
180691,1,NA,NA,NA,NA
180728,1,NA,NA,NA,NA
180791,1,NA,NA,NA,NA
180903,1,NA,NA,NA,NA
180904,1,NA,NA,NA,NA
180984,1,NA,NA,NA,NA
180991,1,NA,NA,NA,NA
181030,1,NA,NA,NA,NA
181033,1,NA,NA,NA,NA
182161,1,NA,NA,NA,NA
182207,1,NA,NA,NA,NA
182208,1,NA,NA,NA,NA
182248,1,NA,NA,NA,NA
182376,1,NA,NA,NA,NA
182451,1,NA,NA,NA,NA
182491,1,NA,NA,NA,NA
182498,1,NA,NA,NA,NA
182570,1,NA,NA,NA,NA
182681,1,NA,NA,NA,NA
182693,1,NA,NA,NA,NA
190065,1,NA,NA,NA,NA
190067,1,NA,NA,NA,NA
190071,1,NA,NA,NA,NA
190115,1,NA,NA,NA,NA
190413,1,NA,NA,NA,NA
190426,1,NA,NA,NA,NA
190429,1,NA,NA,NA,NA
190568,1,NA,NA,NA,NA
190655,1,NA,NA,NA,NA
190658,1,NA,NA,NA,NA
190670,1,NA,NA,NA,NA
190694,1,NA,NA,NA,NA
190793,1,NA,NA,NA,NA
190794,1,NA,NA,NA,NA
190798,1,NA,NA,NA,NA
190835,1,NA,NA,NA,NA
190838,1,NA,NA,NA,NA
190840,1,NA,NA,NA,NA
192008,1,NA,NA,NA,NA
192055,1,NA,NA,NA,NA
192062,1,NA,NA,NA,NA
192064,1,NA,NA,NA,NA
192133,1,NA,NA,NA,NA
192244,1,NA,NA,NA,NA
192437,1,NA,NA,NA,NA
192466,1,NA,NA,NA,NA
192484,1,NA,NA,NA,NA
192527,1,NA,NA,NA,NA
192528,1,NA,NA,NA,NA
192532,1,NA,NA,NA,NA
192533,1,NA,NA,NA,NA
192534,1,NA,NA,NA,NA
192542,1,NA,NA,NA,NA
192543,1,NA,NA,NA,NA
192544,1,NA,NA,NA,NA
192546,1,NA,NA,NA,NA
192548,1,NA,NA,NA,NA
192560,1,NA,NA,NA,NA
192619,1,NA,NA,NA,NA
192674,1,NA,NA,NA,NA
200038,1,NA,NA,NA,NA
200038,2,NA,NA,NA,NA
200142,1,NA,NA,NA,NA
200151,1,NA,NA,NA,NA
200547,1,NA,NA,NA,NA
200551,1,NA,NA,NA,NA
200553,1,NA,NA,NA,NA
200577,1,NA,NA,NA,NA
200586,1,NA,NA,NA,NA
200613,1,NA,NA,NA,NA
200676,1,NA,NA,NA,NA
200812,1,NA,NA,NA,NA
200818,1,NA,NA,NA,NA
200822,1,NA,NA,NA,NA
201207,1,NA,NA,NA,NA
201261,1,NA,NA,NA,NA
201264,1,NA,NA,NA,NA
201274,1,NA,NA,NA,NA
201278,1,NA,NA,NA,NA
201279,1,NA,NA,NA,NA
201331,1,NA,NA,NA,NA
201432,1,NA,NA,NA,NA
201441,1,NA,NA,NA,NA
202050,1,NA,NA,NA,NA
202072,1,NA,NA,NA,NA
202118,1,NA,NA,NA,NA
202201,1,NA,NA,NA,NA
202203,1,NA,NA,NA,NA
202212,1,NA,NA,NA,NA
202215,1,NA,NA,NA,NA
202283,1,NA,NA,NA,NA
202336,1,NA,NA,NA,NA
202337,1,NA,NA,NA,NA
202444,1,NA,NA,NA,NA
202449,1,NA,NA,NA,NA
202536,1,NA,NA,NA,NA
202541,1,NA,NA,NA,NA
202543,1,NA,NA,NA,NA
202545,1,NA,NA,NA,NA
202550,1,NA,NA,NA,NA
202581,1,NA,NA,NA,NA
202585,1,NA,NA,NA,NA
202586,1,NA,NA,NA,NA
