sp,quadrat,lx,ly,tag ,stemtag,census#,exactdate,measure,codes,status,notes,N/S
qupr,704,15.6,15.4,70278,1,,,,,,,S
cagl,705,14.6,2.1,70292,1,,,,,,,S
litu,707,20.0,11.0,70352,1,,,,,,,S
caca,707,17.5,17.7,70356,1,,,,,,,S
cagl,708,7.6,18.4,70357,1,,,,,,,S
litu,708,18.1,2.3,70358,1,,,,,,,S
litu,710,11.4,13.8,70433,1,,,,,,,S
nysy,714,0.1,11.2,70492,1,,,,,,,S
litu,714,0.3,15.2,70493,1,,,,,,,S
caca,714,0.4,15.7,70494,1,,,,,,,S
caca,714,0.4,15.7,70494,2,,,,,,,S
caca,714,1.7,18.6,70495,1,,,,,,,S
qual,711,15.5,3.3,70519,1,,,,,,,S
qual,711,11.9,7.4,70536,1,,,,,,,S
caco,714,19.2,4.3,70579,1,,,,,,,S
quru,714,13.7,1.2,70581,1,,,,,,,S
quve,714,16.2,5.2,70588,1,,,,,,,S
quve,717,20.0,9.6,72024,1,,,,,,,N
litu,719,11.2,10.7,72115,1,,,,,,,N
litu,719,14.4,10.8,72116,1,,,,,,,N
caca,719,19.9,19.0,72122,1,,,,,,,N
quru,719,12.5,19.4,72124,1,,,,,,,N
litu,720,13.8,0.7,72149,1,,,,,,,N
qual,721,5.2,11.5,72210,1,,,,,,,N
qual,722,14.5,12.6,72232,1,,,,,,,N
caco,723,15.0,0.3,72248,1,,,,,,,N
qual,725,15.2,13.3,72308,1,,,,,,,N
litu,726,18.1,0.3,72322,1,,,,,,,N
litu,726,14.4,6.6,72324,1,,,,,,,N
quru,727,7.9,2.6,72337,1,,,,,,,N
quru,727,12.0,15.1,72348,1,,,,,,,N
quru,728,1.7,2.0,72357,1,,,,,,,N
litu,728,13.7,17.1,72375,1,,,,,,,N
litu,728,10.6,16.1,72377,1,,,,,,,N
qual,730,4.8,9.9,72408,1,,,,,,,N
litu,730,3.6,19.4,72427,1,,,,,,,N
litu,732,14.9,4.1,72447,1,,,,,,,N
litu,732,18.9,4.7,72448,1,,,,,,,N
quve,732,16.4,11.8,72452,1,,,,,,,N
quru,732,9.1,15.6,72460,1,,,,,,,N
fram,801,1.9,12.4,80005,1,,,,,,,S
litu,804,3.4,12.6,80100,1,,,,,,,S
cato,804,11.6,5.6,80180,1,,,,,,,S
caco,807,1.8,19.6,80398,1,,,,,,,S
caco,807,7.4,19.4,80401,1,,,,,,,S
quru,809,5.2,17.7,80491,1,,,,,,,S
caovl,813,6.9,11.2,80554,1,,,,,,,S
nysy,813,8.9,17.8,80559,1,,,,,,,S
caco,810,1.9,18.2,80614,1,,,,,,,S
litu,810,4.4,16.8,80615,1,,,,,,,S
quru,811,7.5,3.0,80628,1,,,,,,,S
litu,811,0.2,6.1,80631,1,,,,,,,S
cagl,819,1.6,14.3,82125,1,,,,,,,N
quru,820,1.1,2.7,82138,1,,,,,,,N
litu,822,8.0,9.4,82203,1,,,,,,,N
litu,822,0.5,17.7,82223,1,,,,,,,N
litu,823,2.0,4.0,82226,1,,,,,,,N
quve,825,1.3,12.0,82284,1,,,,,,,N
litu,826,1.8,0.4,82292,1,,,,,,,N
litu,826,0.3,5.1,82298,1,,,,,,,N
quve,827,14.6,8.3,82326,1,,,,,,,N
litu,828,4.0,13.8,82357,1,,,,,,,N
litu,829,2.3,0.7,82360,1,,,,,,,N
qual,829,4.9,4.7,82365,1,,,,,,,N
litu,829,16.8,3.4,82368,1,,,,,,,N
litu,831,3.3,10.0,82419,1,,,,,,,N
litu,831,5.6,14.7,82421,1,,,,,,,N
litu,831,6.9,19.5,82422,1,,,,,,,N
quve,832,6.0,15.6,82434,1,,,,,,,N
quve,901,12.5,17.6,90043,1,,,,,,,S
quve,902,16.2,19.3,90084,1,,,,,,,S
litu,904,16.9,11.1,90162,1,,,,,,,S
cagl,905,17.5,15.8,90311,1,,,,,,,S
litu,905,10.6,5.0,90354,1,,,,,,,S
litu,904,11.7,17.2,90413,3,,,,,,,S
ulru,905,19.5,0.5,90446,1,,,,,,,S
litu,910,10.2,17.8,90530,1,,,,,,,S
cagl,911,18.2,2.1,90533,1,,,,,,,S
quru,910,10.7,14.0,90612,1,,,,,,,S
quru,913,4.9,7.9,90660,1,,,,,,,S
qual,916,12.4,7.4,90752,1,,,,,,,N
litu,907,13.6,12.2,91435,1,,,,,,,S
litu,907,18.7,17.6,91451,1,,,,,,,S
litu,908,14.5,4.7,91474,1,,,,,,,S
litu,908,18.4,2.4,91476,1,,,,,,,S
litu,908,19.3,3.5,91477,1,,,,,,,S
cagl,908,17.5,9.2,91486,1,,,,,,,S
litu,917,6.3,1.4,92006,1,,,,,,,N
acru,917,16.2,5.6,92018,1,,,,,,,N
litu,919,14.4,18.8,92112,1,,,,,,,N
quru,920,17.6,0.3,92139,1,,,,,,,N
cato,920,18.7,0.7,92140,1,,,,,,,N
cagl,920,19.4,4.7,92141,1,,,,,,,N
qual,922,20.1,19.1,92234,1,,,,,,,N
nysy,922,14.7,19.5,92237,1,,,,,,,N
quve,922,10.8,18.3,92238,1,,,,,,,N
ceca,923,19.8,1.7,92269,1,,,,,,,N
quve,923,15.0,7.9,92280,1,,,,,,,N
cagl,925,19.8,7.7,92393,1,,,,,,,N
litu,926,11.2,0.9,92414,1,,,,,,,N
litu,927,0.6,16.3,92466,1,,,,,,,N
quve,928,9.8,15.0,92487,1,,,,,,,N
litu,928,12.7,13.5,92488,1,,,,,,,N
litu,931,15.3,15.6,92545,1,,,,,,,N
litu,931,16.5,16.7,92546,1,,,,,,,N
litu,931,11.7,13.9,92547,1,,,,,,,N
fram,1001,0.7,8.0,100011,1,,,,,,,S
litu,1004,17.9,2.3,100516,1,,,,,,,S
litu,1004,9.1,19.2,100562,1,,,,,,,S
litu,1003,12.0,4.4,100612,1,,,,,,,S
litu,1004,1.7,12.0,100720,2,,,,,,,S
quru,1005,3.8,6.8,100754,1,,,,,,,S
quru,1005,8.5,17.0,100771,1,,,,,,,S
litu,1008,10.0,1.6,100905,1,,,,,,,S
litu,1008,9.3,1.1,100906,1,,,,,,,S
quru,1010,13.8,10.5,100960,1,,,,,,,S
litu,1009,0.0,0.7,101082,1,,,,,,,S
litu,1011,0.1,1.3,101111,1,,,,,,,S
litu,1011,0.3,3.0,101118,1,,,,,,,S
quve,1014,9.0,9.2,101244,1,,,,,,,S
fram,1016,8.0,14.1,101310,1,,,,,,,N
fram,1016,2.6,16.8,101312,1,,,,,,,N
fram,1017,6.0,3.7,102001,1,,,,,,,N
cato,1019,2.0,15.4,102148,1,,,,,,,N
cagl,1020,1.4,0.2,102149,1,,,,,,,N
qual,1020,4.3,2.1,102150,1,,,,,,,N
qual,1020,5.4,8.5,102154,1,,,,,,,N
qual,1020,3.4,11.7,102177,1,,,,,,,N
qual,1022,10.3,17.4,102258,1,,,,,,,N
qual,1022,5.3,20.1,102261,1,,,,,,,N
qual,1022,1.8,20.0,102262,1,,,,,,,N
qual,1022,1.5,14.2,102264,1,,,,,,,N
quve,1024,8.2,0.9,102303,1,,,,,,,N
qual,1025,16.5,11.5,102348,1,,,,,,,N
qual,1025,2.1,18.0,102364,1,,,,,,,N
litu,1025,1.1,13.4,102365,1,,,,,,,N
qual,1026,1.6,6.6,102371,1,,,,,,,N
litu,1028,8.5,16.6,102438,1,,,,,,,N
litu,1028,8.5,16.6,102438,2,,,,,,,N
litu,1028,4.3,19.6,102439,1,,,,,,,N
litu,1029,1.3,3.0,102441,1,,,,,,,N
litu,1029,8.4,1.9,102442,1,,,,,,,N
litu,1029,4.1,7.0,102443,1,,,,,,,N
litu,1029,4.3,5.3,102444,1,,,,,,,N
litu,1029,0.5,3.7,102446,1,,,,,,,N
litu,1029,0.5,3.7,102446,2,,,,,,,N
litu,1030,20.0,14.3,102475,1,,,,,,,N
litu,1031,9.8,17.3,102501,1,,,,,,,N
ulru,1031,0.1,18.6,102502,1,,,,,,,N
ceca,1032,1.3,0.6,102505,1,,,,,,,N
quve,1032,9.6,0.9,102509,1,,,,,,,N
litu,1101,17.0,10.0,110061,1,,,,,,,S
litu,1104,2.0,6.5,110680,1,,,,,,,S
litu,1104,19.9,11.7,110788,1,,,,,,,S
litu,1104,11.3,10.0,110791,1,,,,,,,S
qupr,1104,16.0,15.5,110798,1,,,,,,,S
litu,1105,20.0,4.1,110901,1,,,,,,,S
quve,1105,10.8,3.3,110904,1,,,,,,,S
litu,1107,13.9,12.2,111014,1,,,,,,,S
litu,1107,17.2,19.0,111029,1,,,,,,,S
litu,1107,15.1,19.9,111030,1,,,,,,,S
litu,1107,10.3,19.0,111032,1,,,,,,,S
litu,1107,10.3,19.0,111032,2,,,,,,,S
litu,1108,19.7,4.1,111039,1,,,,,,,S
quru,1108,16.5,5.7,111041,1,,,,,,,S
litu,1110,18.3,17.7,111092,1,,,,,,,S
litu,1110,13.4,16.4,111093,1,,,,,,,S
fram,1116,12.8,10.4,111292,1,,,,,,,N
cagl,1117,14.3,11.2,112014,1,,,,,,,N
acru,1117,8.8,4.2,112057,1,,,,,,,N
fram,1117,1.0,7.6,112060,1,,,,,,,N
quru,1119,13.3,11.4,112118,1,,,,,,,N
qual,1119,17.2,18.3,112130,1,,,,,,,N
pist,1120,13.9,2.5,112136,1,,,,,,,N
qual,1120,13.4,3.9,112137,1,,,,,,,N
qual,1120,16.0,3.5,112142,1,,,,,,,N
quru,1120,19.1,4.7,112143,1,,,,,,,N
pist,1122,10.8,18.4,112250,1,,,,,,,N
litu,1122,13.6,19.4,112252,1,,,,,,,N
quru,1123,17.5,1.5,112262,1,,,,,,,N
quve,1125,8.7,1.0,112316,1,,,,,,,N
qual,1125,17.0,13.8,112336,1,,,,,,,N
ceca,1125,19.1,18.5,112340,1,,,,,,,N
nysy,1125,14.2,16.7,112342,1,,,,,,,N
cagl,1126,11.7,5.6,112350,1,,,,,,,N
qual,1126,14.0,9.8,112354,1,,,,,,,N
litu,1128,14.0,18.8,112462,1,,,,,,,N
cato,1129,17.5,7.1,112466,1,,,,,,,N
litu,1129,19.6,12.5,112467,1,,,,,,,N
litu,1131,14.4,10.9,112480,1,,,,,,,N
litu,1131,14.9,14.4,112481,1,,,,,,,N
litu,1131,17.8,15.9,112482,1,,,,,,,N
quve,1132,19.6,6.2,112485,1,,,,,,,N
ulru,1128,17.9,18.2,112698,1,,,,,,,N
litu,1201,5.0,8.6,120278,1,,,,,,,S
litu,1204,6.8,10.0,120755,1,,,,,,,S
litu,1205,3.8,0.2,120777,1,,,,,,,S
litu,1205,3.0,2.2,120781,1,,,,,,,S
litu,1205,7.3,6.2,120790,1,,,,,,,S
quru,1211,12.4,0.4,121195,1,,,,,,,S
litu,1207,12.7,12.5,121212,1,,,,,,,S
litu,1207,1.7,19.3,121221,1,,,,,,,S
cato,1209,2.1,12.9,121274,1,,,,,,,S
qupr,1209,1.7,16.9,121275,1,,,,,,,S
qupr,1210,2.8,9.4,121291,1,,,,,,,S
nysy,1211,2.6,1.0,121298,1,,,,,,,S
caovl,1211,1.2,2.5,121301,1,,,,,,,S
quru,1211,1.1,11.2,121305,1,,,,,,,S
fram,1216,10.9,12.0,121358,1,,,,,,,N
nysy,1216,4.6,10.8,121367,1,,,,,,,N
juni,1216,0.7,18.5,121374,1,,,,,,,N
fram,1217,10.3,9.1,122005,1,,,,,,,N
acru,1217,9.9,8.3,122006,1,,,,,,,N
acru,1217,1.2,4.1,122009,1,,,,,,,N
qual,1220,2.6,0.6,122120,1,,,,,,,N
pist,1220,1.6,2.3,122121,1,,,,,,,N
qual,1219,10.7,17.3,122130,1,,,,,,,N
quru,1220,5.5,7.6,122136,1,,,,,,,N
pist,1222,2.9,13.9,122184,1,,,,,,,N
pist,1222,5.6,14.9,122185,1,,,,,,,N
qual,1222,5.5,19.5,122189,1,,,,,,,N
qual,1222,10.5,13.1,122248,1,,,,,,,N
qual,1223,1.9,8.5,122303,1,,,,,,,N
qual,1225,10.7,14.4,122343,1,,,,,,,N
ulru,1225,1.3,18.8,122347,1,,,,,,,N
qual,1227,17.0,15.6,122427,1,,,,,,,N
cagl,1228,12.6,13.0,122439,1,,,,,,,N
ulru,1225,2.6,18.7,122450,1,,,,,,,N
fram,1226,5.7,2.4,122452,1,,,,,,,N
qual,1226,12.0,4.2,122455,1,,,,,,,N
cagl,1226,4.6,4.9,122458,1,,,,,,,N
litu,1228,14.5,2.4,122482,1,,,,,,,N
litu,1228,2.7,17.0,122486,1,,,,,,,N
cagl,1229,2.8,4.3,122489,1,,,,,,,N
quru,1229,8.9,4.2,122490,1,,,,,,,N
litu,1229,2.5,11.5,122492,1,,,,,,,N
litu,1232,3.4,17.4,122522,1,,,,,,,N
litu,1231,0.0,7.6,122561,1,,,,,,,N
litu,1232,1.6,3.7,122563,2,,,,,,,N
litu,1302,19.9,1.9,130348,1,,,,,,,S
litu,1306,7.3,11.3,130718,1,,,,,,,S
litu,1305,12.2,1.0,130838,1,,,,,,,S
quve,1308,13.9,0.7,131009,1,,,,,,,S
quru,1310,18.1,15.5,131086,1,,,,,,,S
quru,1310,17.3,17.8,131087,1,,,,,,,S
litu,1311,13.1,2.7,131092,1,,,,,,,S
litu,1311,19.0,4.7,131096,1,,,,,,,S
litu,1313,10.0,15.3,131188,1,,,,,,,S
litu,1313,17.4,13.7,131227,1,,,,,,,S
litu,1313,14.4,19.2,131232,1,,,,,,,S
litu,1313,18.3,19.6,131233,1,,,,,,,S
caco,1314,13.6,7.5,131238,1,,,,,,,S
quru,1314,19.5,5.7,131239,1,,,,,,,S
fram,1315,18.5,2.2,131272,1,,,,,,,N
fram,1316,5.5,3.3,131352,1,,,,,,,N
acru,1316,12.0,12.9,131364,1,,,,,,,N
fram,1317,17.0,6.7,132028,1,,,,,,,N
qual,1319,9.9,15.9,132077,1,,,,,,,N
litu,1320,13.7,6.7,132171,1,,,,,,,N
quru,1321,13.0,14.4,132302,1,,,,,,,N
qual,1322,12.9,14.2,132311,1,,,,,,,N
quru,1323,17.6,1.0,132321,1,,,,,,,N
quru,1325,19.9,12.9,132371,1,,,,,,,N
quve,1328,18.6,13.9,132508,1,,,,,,,N
juni,1328,11.2,18.4,132512,1,,,,,,,N
litu,1329,18.4,0.4,132524,1,,,,,,,N
fram,1329,20.0,1.2,132525,1,,,,,,,N
litu,1329,16.6,13.2,132529,1,,,,,,,N
litu,1331,15.0,15.9,132539,1,,,,,,,N
quve,1332,15.4,2.9,132542,1,,,,,,,N
litu,1332,9.5,11.2,132545,1,,,,,,,N
ulru,1401,0.3,18.3,140270,1,,,,,,,S
quve,1404,2.1,18.5,140467,1,,,,,,,S
litu,1403,4.3,3.6,140609,1,,,,,,,S
litu,1405,1.0,8.3,140646,1,,,,,,,S
quve,1407,2.4,13.6,140736,1,,,,,,,S
quru,1408,9.9,1.5,140751,1,,,,,,,S
quve,1408,1.3,6.2,140756,1,,,,,,,S
litu,1410,8.3,11.2,140813,1,,,,,,,S
litu,1410,2.3,19.2,140818,1,,,,,,,S
litu,1411,1.6,1.5,140819,1,,,,,,,S
litu,1411,2.5,1.5,140820,1,,,,,,,S
litu,1411,4.6,0.4,140821,1,,,,,,,S
litu,1411,8.0,5.9,140825,1,,,,,,,S
litu,1411,0.6,4.9,140829,1,,,,,,,S
litu,1411,5.6,9.5,140833,1,,,,,,,S
litu,1413,6.1,14.9,140872,1,,,,,,,S
caco,1416,2.5,18.5,141146,1,,,,,,,N
cagl,1417,3.0,5.0,142113,1,,,,,,,N
fram,1419,18.5,16.5,142206,1,,,,,,,N
qual,1425,6.8,13.1,142380,1,,,,,,,N
pist,1422,6.4,11.1,142521,1,,,,,,,N
cagl,1422,1.9,18.4,142527,1,,,,,,,N
quve,1425,0.9,18.8,142568,1,,,,,,,N
quve,1426,1.8,6.4,142575,1,,,,,,,N
litu,1431,12.4,12.8,142656,1,,,,,,,N
juni,1429,4.3,6.2,142708,1,,,,,,,N
litu,1431,1.7,8.2,142727,1,,,,,,,N
litu,1431,4.7,14.7,142729,1,,,,,,,N
litu,1431,9.9,14.7,142730,1,,,,,,,N
litu,1432,8.2,2.3,142731,1,,,,,,,N
cagl,1432,1.6,1.2,142732,1,,,,,,,N
litu,1432,0.5,5.4,142733,1,,,,,,,N
qual,1432,5.4,9.6,142735,1,,,,,,,N
cagl,1426,0.9,1.6,143707,1,,,,,,,N
quve,1503,13.6,16.3,150756,1,,,,,,,S
litu,1508,14.6,16.6,150830,1,,,,,,,S
ploc,1520,6.8,0.3,152153,1,,,,,,,N
litu,1530,3.6,18.8,152673,1,,,,,,,N
litu,1531,11.3,15.7,152701,1,,,,,,,N
litu,1603,10.4,13.7,160713,1,,,,,,,S
litu,1605,19.3,6.6,160742,1,,,,,,,S
ploc,1614,12.4,15.2,160862,1,,,,,,,S
litu,1607,8.6,1.1,160910,1,,,,,,,S
litu,1612,1.2,17.2,160985,1,,,,,,,S
qual,1623,3.0,9.4,162293,1,,,,,,,N
quru,1627,16.3,0.3,162439,1,,,,,,,N
quve,1624,1.3,12.3,162503,1,,,,,,,N
qual,1627,7.5,16.6,162543,1,,,,,,,N
litu,1702,4.7,1.6,170175,1,,,,,,,S
litu,1704,12.2,15.2,170992,1,,,,,,,S
litu,1704,18.4,16.1,170994,1,,,,,,,S
rops,1705,16.8,0.6,171000,1,,,,,,,S
litu,1705,9.3,1.8,171127,1,,,,,,,S
saal,1707,15.4,15.9,171247,1,,,,,,,S
litu,1708,15.3,3.4,171254,1,,,,,,,S
litu,1708,12.2,4.5,171257,1,,,,,,,S
litu,1708,15.9,8.2,171262,1,,,,,,,S
quru,1712,10.0,19.5,171314,1,,,,,,,S
ceca,1714,19.4,2.4,171348,1,,,,,,,S
fram,1714,16.0,14.1,171358,1,,,,,,,S
acru,1714,0.8,13.4,171456,1,,,,,,,S
qual,1715,7.9,7.5,171462,1,,,,,,,N
litu,1716,14.1,12.4,171505,1,,,,,,,N
litu,1716,12.0,12.9,171506,1,,,,,,,N
fram,1723,9.6,1.6,172154,1,,,,,,,N
cagl,1717,19.5,1.2,172201,1,,,,,,,N
quru,1717,17.1,1.8,172202,1,,,,,,,N
qual,1717,15.5,0.3,172203,1,,,,,,,N
qual,1717,16.1,3.5,172205,1,,,,,,,N
cato,1719,19.2,19.3,172248,1,,,,,,,N
qual,1720,9.9,1.3,172255,1,,,,,,,N
qupr,1720,19.4,5.1,172260,1,,,,,,,N
ulru,1722,19.1,17.6,172365,1,,,,,,,N
ulru,1723,15.4,5.6,172372,1,,,,,,,N
juni,1723,18.2,14.9,172382,1,,,,,,,N
nysy,1725,19.9,15.6,172416,1,,,,,,,N
nysy,1725,20.0,18.4,172417,1,,,,,,,N
nysy,1725,20.0,19.5,172418,1,,,,,,,N
cagl,1725,14.7,20.0,172421,1,,,,,,,N
litu,1726,18.4,1.6,172423,1,,,,,,,N
quru,1728,11.1,12.0,172470,1,,,,,,,N
fram,1728,19.1,19.3,172472,1,,,,,,,N
qual,1730,17.0,3.1,172499,1,,,,,,,N
quru,1726,7.3,12.2,172509,1,,,,,,,N
litu,1729,5.1,3.9,172556,1,,,,,,,N
fram,1731,10.4,15.4,172587,1,,,,,,,N
litu,1731,17.1,14.5,172624,1,,,,,,,N
fram,1731,12.5,15.7,172626,1,,,,,,,N
litu,1802,11.0,4.6,180235,1,,,,,,,S
litu,1805,6.0,0.3,180654,1,,,,,,,S
litu,1807,6.2,17.3,180691,1,,,,,,,S
litu,1804,3.1,12.7,180728,1,,,,,,,S
litu,1808,4.8,2.3,180903,1,,,,,,,S
litu,1808,2.8,6.5,180904,1,,,,,,,S
litu,1813,4.0,11.8,180984,1,,,,,,,S
acru,1813,3.3,19.5,180988,3,,,,,,,S
ploc,1814,1.5,6.7,180991,1,,,,,,,S
qual,1816,5.4,10.6,181030,1,,,,,,,N
litu,1816,3.4,18.6,181033,1,,,,,,,N
fram,1822,16.8,3.2,182161,1,,,,,,,N
qual,1817,5.6,11.2,182207,1,,,,,,,N
quru,1817,4.0,10.1,182208,1,,,,,,,N
nysy,1820,0.2,1.2,182248,1,,,,,,,N
ploc,1823,2.9,12.6,182376,1,,,,,,,N
fram,1829,1.3,1.4,182451,1,,,,,,,N
litu,1831,7.6,7.9,182491,1,,,,,,,N
fram,1831,0.9,18.3,182498,1,,,,,,,N
juni,1822,2.7,13.5,182570,1,,,,,,,N
litu,1829,13.0,1.0,182681,1,,,,,,,N
litu,1830,15.3,13.2,182693,1,,,,,,,N
litu,1902,18.8,0.4,190065,1,,,,,,,S
litu,1902,19.0,2.2,190067,1,,,,,,,S
litu,1902,20.0,4.3,190071,1,,,,,,,S
litu,1902,4.8,18.6,190115,1,,,,,,,S
litu,1904,14.7,4.6,190413,1,,,,,,,S
litu,1904,11.0,14.2,190426,1,,,,,,,S
litu,1904,12.5,19.1,190429,1,,,,,,,S
juni,1912,2.6,18.8,190568,1,,,,,,,S
litu,1907,12.9,16.1,190655,1,,,,,,,S
litu,1907,10.6,16.7,190658,1,,,,,,,S
litu,1908,8.0,3.2,190670,1,,,,,,,S
quru,1909,18.2,14.7,190694,1,,,,,,,S
litu,1914,12.2,1.3,190793,1,,,,,,,S
quru,1914,10.6,1.4,190794,1,,,,,,,S
cagl,1914,12.5,8.4,190798,1,,,,,,,S
quve,1916,19.1,14.0,190834,1,,,,,,,N
litu,1916,20.5,15.4,190835,1,,,,,,,N
quru,1916,19.1,19.7,190838,1,,,,,,,N
litu,1916,15.0,17.2,190840,1,,,,,,,N
quru,1916,9.4,17.1,190935,1,,,,,,,N
qual,1917,12.0,2.0,192008,1,,,,,,,N
qual,1919,14.8,10.1,192055,1,,,,,,,N
qupr,1920,14.4,10.1,192062,1,,,,,,,N
qupr,1920,18.0,11.7,192064,1,,,,,,,N
cato,1922,18.4,16.7,192110,1,,,,,,,N
caovl,1923,11.7,2.3,192133,1,,,,,,,N
qual,1919,18.1,16.8,192244,1,,,,,,,N
litu,1925,17.0,11.5,192437,1,,,,,,,N
quru,1926,13.3,1.7,192466,1,,,,,,,N
quru,1926,17.4,11.2,192484,1,,,,,,,N
litu,1928,11.9,5.0,192527,1,,,,,,,N
litu,1928,12.4,9.7,192528,1,,,,,,,N
fagr,1928,19.2,18.1,192532,1,,,,,,,N
litu,1928,18.4,17.2,192533,1,,,,,,,N
litu,1928,13.3,17.4,192534,1,,,,,,,N
