"tag","stemtag","sp","quadrat","lx","ly","installdate","dbhnew","dendHt","dendDiam","measure","codes","notes","surveyor"
"40562","1","fagr","406","6.3","16.2"," "," "," "," "," "," "," "," "
"40563","1","fagr","406","3.6","17.8"," "," "," "," "," "," "," "," "
"40564","1","fagr","406","2.4","12.4"," "," "," "," "," "," "," "," "
"40565","1","cagl","406","1.9","10.1"," "," "," "," "," "," "," "," "
"40566","1","cagl","406","1.1","9.4"," "," "," "," "," "," "," "," "
"40567","1","fagr","406","1.6","7.2"," "," "," "," "," "," "," "," "
"40568","1","fagr","406","0.1","5.2"," "," "," "," "," "," "," "," "
"40569","1","litu","407","5.6","1.7"," "," "," "," "," "," "," "," "
"40635","1","cagl","408","18.7","1"," "," "," "," "," "," "," "," "
"40875","1","qual","412","14.4","14.4"," "," "," "," "," "," "," "," "
"40941","1","litu","414","6","15.4"," "," "," "," "," "," "," "," "
"40942","1","acru","414","2.2","2"," "," "," "," "," "," "," "," "
"40972","1","litu","415","7.2","9.6"," "," "," "," "," "," "," "," "
"42009","1","ploc","417","4.1","19.2"," "," "," "," "," "," "," "," "
"42270","1","quru","424","12.3","18.6"," "," "," "," "," "," "," "," "
"42397","1","quru","428","10.4","5.5"," "," "," "," "," "," "," "," "
"42562","1","quru","431","15.2","0.4"," "," "," "," "," "," "," "," "
"50160","1","fram","502","7.4","11"," "," "," "," "," "," "," "," "
"50288","1","quru","505","10.8","10.6"," "," "," "," "," "," "," "," "
"50364","1","qual","507","4.2","18.1"," "," "," "," "," "," "," "," "
"50650","1","litu","514","19.5","14.9"," "," "," "," "," "," "," "," "
"50654","1","litu","514","17.2","19.1"," "," "," "," "," "," "," "," "
"52087","1","quru","519","1.1","11.1"," "," "," "," "," "," "," "," "
"52190","1","quru","522","16.4","3.4"," "," "," "," "," "," "," "," "
"52276","1","quve","525","7.3","10.7"," "," "," "," "," "," "," "," "
"60161","1","qupr","608","17.5","14.1"," "," "," "," "," "," "," "," "
"60414","1","quru","611","4.2","0"," "," "," "," "," "," "," "," "
"60456","1","caca","614","5.3","15"," "," "," "," "," "," "," "," "
"60457","1","caca","614","4","15.2"," "," "," "," "," "," "," "," "
"60458","1","fagr","615","1.9","0"," "," "," "," "," "," "," "," "
"60459","1","fagr","615","2","3"," "," "," "," "," "," "," "," "
"60462","1","fagr","615","5.6","7.6"," "," "," "," "," "," "," "," "
"60463","1","juni","615","7.2","8"," "," "," "," "," "," "," "," "
"60468","1","caca","615","5.4","9.6"," "," "," "," "," "," "," "," "
"60469","1","cofl","615","6.8","9.8"," "," "," "," "," "," "," "," "
"60562","1","fagr","614","19","8.7"," "," "," "," "," "," "," "," "
"60563","1","caca","614","14.2","13.2"," "," "," "," "," "," "," "," "
"60566","1","fagr","614","10","11"," "," "," "," "," "," "," "," "
"60567","1","litu","614","11.6","11.2"," "," "," "," "," "," "," "," "
"60568","1","caca","614","15.5","15.6"," "," "," "," "," "," "," "," "
"60569","1","caca","614","19.4","16.2"," "," "," "," "," "," "," "," "
"60570","1","caco","614","15.2","16.7"," "," "," "," "," "," "," "," "
"60571","1","caca","614","12","17.4"," "," "," "," "," "," "," "," "
"60573","1","tiam","614","8.5","16.3"," "," "," "," "," "," "," "," "
"60576","1","caca","615","17.1","1"," "," "," "," "," "," "," "," "
"60577","1","litu","615","12.7","1.4"," "," "," "," "," "," "," "," "
"60578","1","caca","615","13.2","9.9"," "," "," "," "," "," "," "," "
"60579","1","caca","615","16.8","4"," "," "," "," "," "," "," "," "
"60581","1","litu","615","19.8","9.3"," "," "," "," "," "," "," "," "
"60582","1","quru","615","20","10.2"," "," "," "," "," "," "," "," "
"60586","1","caca","615","16.2","9.3"," "," "," "," "," "," "," "," "
"60587","1","caca","615","14","9.8"," "," "," "," "," "," "," "," "
"60588","1","caco","615","13.4","7.3"," "," "," "," "," "," "," "," "
"62128","1","quru","620","8","0.8"," "," "," "," "," "," "," "," "
"62181","1","quve","621","8.8","13.5"," "," "," "," "," "," "," "," "
"62224","1","litu","622","3.2","17.3"," "," "," "," "," "," "," "," "
"62241","1","litu","623","13.9","0.7"," "," "," "," "," "," "," "," "
"62417","1","quve","630","8.9","17"," "," "," "," "," "," "," "," "
"62449","1","qual","632","18.7","3.9"," "," "," "," "," "," "," "," "
"62454","1","quve","632","14.7","18.8"," "," "," "," "," "," "," "," "
"70096","1","quru","704","3.3","12.7"," "," "," "," "," "," "," "," "
"70126","1","quru","705","9.3","12.5"," "," "," "," "," "," "," "," "
"70181","1","litu","707","13.3","17.2"," "," "," "," "," "," "," "," "
"70216","1","quve","701","18.7","11.6"," "," "," "," "," "," "," "," "
"70220","1","qual","702","18.3","0.8"," "," "," "," "," "," "," "," "
"70278","1","qupr","704","15.6","15.4"," "," "," "," "," "," "," "," "
"70292","1","cagl","705","14.6","2.1"," "," "," "," "," "," "," "," "
"70352","1","litu","707","20","11"," "," "," "," "," "," "," "," "
"70356","1","caca","707","17.5","17.7"," "," "," "," "," "," "," "," "
"70357","1","cagl","708","7.6","18.4"," "," "," "," "," "," "," "," "
"70358","1","litu","708","18.1","2.3"," "," "," "," "," "," "," "," "
"70433","1","litu","710","11.4","13.8"," "," "," "," "," "," "," "," "
"70492","1","nysy","714","0.1","11.2"," "," "," "," "," "," "," "," "
"70493","1","litu","714","0.3","15.2"," "," "," "," "," "," "," "," "
"70494","1","caca","714","0.4","15.7"," "," "," "," "," "," "," "," "
"70494","2","caca","714","0.4","15.7"," "," "," "," "," "," "," "," "
"70495","1","caca","714","1.7","18.6"," "," "," "," "," "," "," "," "
"70519","1","qual","711","15.5","3.3"," "," "," "," "," "," "," "," "
"70536","1","qual","711","11.9","7.4"," "," "," "," "," "," "," "," "
"70579","1","caco","714","19.2","4.3"," "," "," "," "," "," "," "," "
"70581","1","quru","714","13.7","1.2"," "," "," "," "," "," "," "," "
"70588","1","quve","714","16.2","5.2"," "," "," "," "," "," "," "," "
"72024","1","quve","717","20","9.6"," "," "," "," "," "," "," "," "
"72115","1","litu","719","11.2","10.7"," "," "," "," "," "," "," "," "
"72116","1","litu","719","14.4","10.8"," "," "," "," "," "," "," "," "
"72122","1","caca","719","19.9","19"," "," "," "," "," "," "," "," "
"72124","1","quru","719","12.5","19.4"," "," "," "," "," "," "," "," "
"72149","1","litu","720","13.8","0.7"," "," "," "," "," "," "," "," "
"72210","1","qual","721","5.2","11.5"," "," "," "," "," "," "," "," "
"72232","1","qual","722","14.5","12.6"," "," "," "," "," "," "," "," "
"72248","1","caco","723","15","0.3"," "," "," "," "," "," "," "," "
"72308","1","qual","725","15.2","13.3"," "," "," "," "," "," "," "," "
"72322","1","litu","726","18.1","0.3"," "," "," "," "," "," "," "," "
"72324","1","litu","726","14.4","6.6"," "," "," "," "," "," "," "," "
"72337","1","quru","727","7.9","2.6"," "," "," "," "," "," "," "," "
"72348","1","quru","727","12","15.1"," "," "," "," "," "," "," "," "
"72357","1","quru","728","1.7","2"," "," "," "," "," "," "," "," "
"72375","1","litu","728","13.7","17.1"," "," "," "," "," "," "," "," "
"72377","1","litu","728","10.6","16.1"," "," "," "," "," "," "," "," "
"72408","1","qual","730","4.8","9.9"," "," "," "," "," "," "," "," "
"72427","1","litu","730","3.6","19.4"," "," "," "," "," "," "," "," "
"72447","1","litu","732","14.9","4.1"," "," "," "," "," "," "," "," "
"72448","1","litu","732","18.9","4.7"," "," "," "," "," "," "," "," "
"72452","1","quve","732","16.4","11.8"," "," "," "," "," "," "," "," "
"72460","1","quru","732","9.1","15.6"," "," "," "," "," "," "," "," "
"80005","1","fram","801","1.9","12.4"," "," "," "," "," "," "," "," "
"80100","1","litu","804","3.4","12.6"," "," "," "," "," "," "," "," "
"80180","1","cato","804","11.6","5.6"," "," "," "," "," "," "," "," "
"80398","1","caco","807","1.8","19.6"," "," "," "," "," "," "," "," "
"80401","1","caco","807","7.4","19.4"," "," "," "," "," "," "," "," "
"80491","1","quru","809","5.2","17.7"," "," "," "," "," "," "," "," "
"80554","1","caovl","813","6.9","11.2"," "," "," "," "," "," "," "," "
"80559","1","nysy","813","8.9","17.8"," "," "," "," "," "," "," "," "
"80614","1","caco","810","1.9","18.2"," "," "," "," "," "," "," "," "
"80615","1","litu","810","4.4","16.8"," "," "," "," "," "," "," "," "
"80628","1","quru","811","7.5","3"," "," "," "," "," "," "," "," "
"80631","1","litu","811","0.2","6.1"," "," "," "," "," "," "," "," "
"82125","1","cagl","819","1.6","14.3"," "," "," "," "," "," "," "," "
"82138","1","quru","820","1.1","2.7"," "," "," "," "," "," "," "," "
"82203","1","litu","822","8","9.4"," "," "," "," "," "," "," "," "
"82223","1","litu","822","0.5","17.7"," "," "," "," "," "," "," "," "
"82226","1","litu","823","2","4"," "," "," "," "," "," "," "," "
"82284","1","quve","825","1.3","12"," "," "," "," "," "," "," "," "
"82292","1","litu","826","1.8","0.4"," "," "," "," "," "," "," "," "
"82298","1","litu","826","0.3","5.1"," "," "," "," "," "," "," "," "
"82326","1","quve","827","14.6","8.3"," "," "," "," "," "," "," "," "
"82357","1","litu","828","4","13.8"," "," "," "," "," "," "," "," "
"82360","1","litu","829","2.3","0.7"," "," "," "," "," "," "," "," "
"82365","1","qual","829","4.9","4.7"," "," "," "," "," "," "," "," "
"82368","1","litu","829","16.8","3.4"," "," "," "," "," "," "," "," "
"82419","1","litu","831","3.3","10"," "," "," "," "," "," "," "," "
"82421","1","litu","831","5.6","14.7"," "," "," "," "," "," "," "," "
"82422","1","litu","831","6.9","19.5"," "," "," "," "," "," "," "," "
"82434","1","quve","832","6","15.6"," "," "," "," "," "," "," "," "
"90043","1","quve","901","12.5","17.6"," "," "," "," "," "," "," "," "
"90084","1","quve","902","16.2","19.3"," "," "," "," "," "," "," "," "
"90162","1","litu","904","16.9","11.1"," "," "," "," "," "," "," "," "
"90311","1","cagl","904","17.5","15.8"," "," "," "," "," "," "," "," "
"90354","1","litu","905","10.6","5"," "," "," "," "," "," "," "," "
"90413","3","litu","904","11.7","17.2"," "," "," "," "," "," "," "," "
"90446","1","ulru","905","19.5","0.5"," "," "," "," "," "," "," "," "
"90530","1","litu","910","10.2","17.8"," "," "," "," "," "," "," "," "
"90533","1","cagl","911","18.2","2.1"," "," "," "," "," "," "," "," "
"90612","1","quru","910","10.7","14"," "," "," "," "," "," "," "," "
"90660","1","quru","913","4.9","7.9"," "," "," "," "," "," "," "," "
"90752","1","qual","916","12.4","7.4"," "," "," "," "," "," "," "," "
"91435","1","litu","907","13.6","12.2"," "," "," "," "," "," "," "," "
"91451","1","litu","907","18.7","17.6"," "," "," "," "," "," "," "," "
"91474","1","litu","908","14.5","4.7"," "," "," "," "," "," "," "," "
"91476","1","litu","908","18.4","2.4"," "," "," "," "," "," "," "," "
"91477","1","litu","908","19.3","3.5"," "," "," "," "," "," "," "," "
"91486","1","cagl","908","17.5","9.2"," "," "," "," "," "," "," "," "
"92006","1","litu","917","6.3","1.4"," "," "," "," "," "," "," "," "
"92018","1","acru","917","16.2","5.6"," "," "," "," "," "," "," "," "
"92112","1","litu","919","14.4","18.8"," "," "," "," "," "," "," "," "
"92139","1","quru","920","17.6","0.3"," "," "," "," "," "," "," "," "
"92140","1","cato","920","18.7","0.7"," "," "," "," "," "," "," "," "
"92141","1","cagl","920","19.4","4.7"," "," "," "," "," "," "," "," "
"92234","1","qual","922","20.1","19.1"," "," "," "," "," "," "," "," "
"92237","1","nysy","922","14.7","19.5"," "," "," "," "," "," "," "," "
"92238","1","quve","922","10.8","18.3"," "," "," "," "," "," "," "," "
"92269","1","ceca","923","19.8","1.7"," "," "," "," "," "," "," "," "
"92280","1","quve","923","15","7.9"," "," "," "," "," "," "," "," "
"92393","1","cagl","925","19.8","7.7"," "," "," "," "," "," "," "," "
"92414","1","litu","926","11.2","0.9"," "," "," "," "," "," "," "," "
"92466","1","litu","927","0.6","16.3"," "," "," "," "," "," "," "," "
"92487","1","quve","928","9.8","15"," "," "," "," "," "," "," "," "
"92488","1","litu","928","12.7","13.5"," "," "," "," "," "," "," "," "
"92545","1","litu","931","15.3","15.6"," "," "," "," "," "," "," "," "
"92546","1","litu","931","16.5","16.7"," "," "," "," "," "," "," "," "
"92547","1","litu","931","11.7","13.9"," "," "," "," "," "," "," "," "
"100011","1","fram","1001","0.7","8"," "," "," "," "," "," "," "," "
"100516","1","litu","1004","17.9","2.3"," "," "," "," "," "," "," "," "
"100562","1","litu","1004","9.1","19.2"," "," "," "," "," "," "," "," "
"100612","1","litu","1003","12","4.4"," "," "," "," "," "," "," "," "
"100720","2","litu","1004","1.7","12"," "," "," "," "," "," "," "," "
"100754","1","quru","1005","3.8","6.8"," "," "," "," "," "," "," "," "
"100771","1","quru","1005","8.5","17"," "," "," "," "," "," "," "," "
"100905","1","litu","1008","10","1.6"," "," "," "," "," "," "," "," "
"100906","1","litu","1008","9.3","1.1"," "," "," "," "," "," "," "," "
"100960","1","quru","1010","13.8","10.5"," "," "," "," "," "," "," "," "
"101082","1","litu","1009","0","0.7"," "," "," "," "," "," "," "," "
"101111","1","litu","1011","0.1","1.3"," "," "," "," "," "," "," "," "
"101118","1","litu","1011","0.3","3"," "," "," "," "," "," "," "," "
"101244","1","quve","1014","9","9.2"," "," "," "," "," "," "," "," "
"101310","1","fram","1016","8","14.1"," "," "," "," "," "," "," "," "
"101312","1","fram","1016","2.6","16.8"," "," "," "," "," "," "," "," "
"102001","1","fram","1017","6","3.7"," "," "," "," "," "," "," "," "
"102148","1","cato","1019","2","15.4"," "," "," "," "," "," "," "," "
"102149","1","cagl","1020","1.4","0.2"," "," "," "," "," "," "," "," "
"102150","1","qual","1020","4.3","2.1"," "," "," "," "," "," "," "," "
"102154","1","qual","1020","5.4","8.5"," "," "," "," "," "," "," "," "
"102177","1","qual","1020","3.4","11.7"," "," "," "," "," "," "," "," "
"102258","1","qual","1022","10.3","17.4"," "," "," "," "," "," "," "," "
"102261","1","qual","1022","5.3","20.1"," "," "," "," "," "," "," "," "
"102262","1","qual","1022","1.8","20"," "," "," "," "," "," "," "," "
"102264","1","qual","1022","1.5","14.2"," "," "," "," "," "," "," "," "
"102303","1","quve","1024","8.2","0.9"," "," "," "," "," "," "," "," "
"102348","1","qual","1025","16.5","11.5"," "," "," "," "," "," "," "," "
"102364","1","qual","1025","2.1","18"," "," "," "," "," "," "," "," "
"102365","1","litu","1025","1.1","13.4"," "," "," "," "," "," "," "," "
"102371","1","qual","1026","1.6","6.6"," "," "," "," "," "," "," "," "
"102438","1","litu","1028","8.5","16.6"," "," "," "," "," "," "," "," "
"102438","2","litu","1028","8.5","16.6"," "," "," "," "," "," "," "," "
"102439","1","litu","1028","4.3","19.6"," "," "," "," "," "," "," "," "
"102441","1","litu","1029","1.3","3"," "," "," "," "," "," "," "," "
"102442","1","litu","1029","8.4","1.9"," "," "," "," "," "," "," "," "
"102443","1","litu","1029","4.1","7"," "," "," "," "," "," "," "," "
"102444","1","litu","1029","4.3","5.3"," "," "," "," "," "," "," "," "
"102446","1","litu","1029","0.5","3.7"," "," "," "," "," "," "," "," "
"102446","2","litu","1029","0.5","3.7"," "," "," "," "," "," "," "," "
"102475","1","litu","1030","20","14.3"," "," "," "," "," "," "," "," "
"102501","1","litu","1031","9.8","17.3"," "," "," "," "," "," "," "," "
"102502","1","ulru","1031","0.1","18.6"," "," "," "," "," "," "," "," "
"102505","1","ceca","1032","1.3","0.6"," "," "," "," "," "," "," "," "
"102509","1","quve","1032","9.6","0.9"," "," "," "," "," "," "," "," "
"110061","1","litu","1101","17","10"," "," "," "," "," "," "," "," "
"110680","1","litu","1104","2","6.5"," "," "," "," "," "," "," "," "
"110788","1","litu","1104","19.9","11.7"," "," "," "," "," "," "," "," "
"110791","1","litu","1104","11.3","10"," "," "," "," "," "," "," "," "
"110798","1","qupr","1104","16","15.5"," "," "," "," "," "," "," "," "
"110901","1","litu","1105","20","4.1"," "," "," "," "," "," "," "," "
"110904","1","quve","1105","10.8","3.3"," "," "," "," "," "," "," "," "
"111014","1","litu","1107","13.9","12.2"," "," "," "," "," "," "," "," "
"111029","1","litu","1107","17.2","19"," "," "," "," "," "," "," "," "
"111030","1","litu","1107","15.1","19.9"," "," "," "," "," "," "," "," "
"111032","1","litu","1107","10.3","19"," "," "," "," "," "," "," "," "
"111032","2","litu","1107","10.3","19"," "," "," "," "," "," "," "," "
"111039","1","litu","1108","19.7","4.1"," "," "," "," "," "," "," "," "
"111041","1","quru","1108","16.5","5.7"," "," "," "," "," "," "," "," "
"111092","1","litu","1110","18.3","17.7"," "," "," "," "," "," "," "," "
"111093","1","litu","1110","13.4","16.4"," "," "," "," "," "," "," "," "
"111292","1","fram","1116","12.8","10.4"," "," "," "," "," "," "," "," "
"112014","1","cagl","1117","14.3","11.2"," "," "," "," "," "," "," "," "
"112057","1","acru","1117","8.8","4.2"," "," "," "," "," "," "," "," "
"112060","1","fram","1117","1","7.6"," "," "," "," "," "," "," "," "
"112118","1","quru","1119","13.3","11.4"," "," "," "," "," "," "," "," "
"112130","1","qual","1119","17.2","18.3"," "," "," "," "," "," "," "," "
"112136","1","pist","1120","13.9","2.5"," "," "," "," "," "," "," "," "
"112137","1","qual","1120","13.4","3.9"," "," "," "," "," "," "," "," "
"112142","1","qual","1120","16","3.5"," "," "," "," "," "," "," "," "
"112143","1","quru","1120","19.1","4.7"," "," "," "," "," "," "," "," "
"112250","1","pist","1122","10.8","18.4"," "," "," "," "," "," "," "," "
"112252","1","litu","1122","13.6","19.4"," "," "," "," "," "," "," "," "
"112262","1","quru","1123","17.5","1.5"," "," "," "," "," "," "," "," "
"112316","1","quve","1125","8.7","1"," "," "," "," "," "," "," "," "
"112336","1","qual","1125","17","13.8"," "," "," "," "," "," "," "," "
"112340","1","ceca","1125","19.1","18.5"," "," "," "," "," "," "," "," "
"112342","1","nysy","1125","14.2","16.7"," "," "," "," "," "," "," "," "
"112350","1","cagl","1126","11.7","5.6"," "," "," "," "," "," "," "," "
"112354","1","qual","1126","14","9.8"," "," "," "," "," "," "," "," "
"112462","1","litu","1128","14","18.8"," "," "," "," "," "," "," "," "
"112466","1","cato","1129","17.5","7.1"," "," "," "," "," "," "," "," "
"112467","1","litu","1129","19.6","12.5"," "," "," "," "," "," "," "," "
"112480","1","litu","1131","14.4","10.9"," "," "," "," "," "," "," "," "
"112481","1","litu","1131","14.9","14.4"," "," "," "," "," "," "," "," "
"112482","1","litu","1131","17.8","15.9"," "," "," "," "," "," "," "," "
"112485","1","quve","1132","19.6","6.2"," "," "," "," "," "," "," "," "
"112698","1","ulru","1128","17.9","18.2"," "," "," "," "," "," "," "," "
"120278","1","litu","1201","5","8.6"," "," "," "," "," "," "," "," "
"120755","1","litu","1204","6.8","10"," "," "," "," "," "," "," "," "
"120777","1","litu","1205","3.8","0.2"," "," "," "," "," "," "," "," "
"120781","1","litu","1205","3","2.2"," "," "," "," "," "," "," "," "
"120790","1","litu","1205","7.3","6.2"," "," "," "," "," "," "," "," "
"121195","1","quru","1211","12.4","0.4"," "," "," "," "," "," "," "," "
"121212","1","litu","1207","12.7","12.5"," "," "," "," "," "," "," "," "
"121221","1","litu","1207","1.7","19.3"," "," "," "," "," "," "," "," "
"121274","1","cato","1209","2.1","12.9"," "," "," "," "," "," "," "," "
"121275","1","qupr","1209","1.7","16.9"," "," "," "," "," "," "," "," "
"121291","1","qupr","1210","2.8","9.4"," "," "," "," "," "," "," "," "
"121298","1","nysy","1211","2.6","1"," "," "," "," "," "," "," "," "
"121301","1","caovl","1211","1.2","2.5"," "," "," "," "," "," "," "," "
"121305","1","quru","1211","1.1","11.2"," "," "," "," "," "," "," "," "
"121358","1","fram","1216","10.9","12"," "," "," "," "," "," "," "," "
"121367","1","nysy","1216","4.6","10.8"," "," "," "," "," "," "," "," "
"121374","1","juni","1216","0.7","18.5"," "," "," "," "," "," "," "," "
"122005","1","fram","1217","10.3","9.1"," "," "," "," "," "," "," "," "
"122006","1","acru","1217","9.9","8.3"," "," "," "," "," "," "," "," "
"122009","1","acru","1217","1.2","4.1"," "," "," "," "," "," "," "," "
"122120","1","qual","1220","2.6","0.6"," "," "," "," "," "," "," "," "
"122121","1","pist","1220","1.6","2.3"," "," "," "," "," "," "," "," "
"122130","1","qual","1219","10.7","17.3"," "," "," "," "," "," "," "," "
"122136","1","quru","1220","5.5","7.6"," "," "," "," "," "," "," "," "
"122184","1","pist","1222","2.9","13.9"," "," "," "," "," "," "," "," "
"122185","1","pist","1222","5.6","14.9"," "," "," "," "," "," "," "," "
"122189","1","qual","1222","5.5","19.5"," "," "," "," "," "," "," "," "
"122248","1","qual","1222","10.5","13.1"," "," "," "," "," "," "," "," "
"122303","1","qual","1223","1.9","8.5"," "," "," "," "," "," "," "," "
"122343","1","qual","1225","10.7","14.4"," "," "," "," "," "," "," "," "
"122347","1","ulru","1225","1.3","18.8"," "," "," "," "," "," "," "," "
"122427","1","qual","1227","17","15.6"," "," "," "," "," "," "," "," "
"122439","1","cagl","1228","12.6","13"," "," "," "," "," "," "," "," "
"122450","1","ulru","1225","2.6","18.7"," "," "," "," "," "," "," "," "
"122452","1","fram","1226","5.7","2.4"," "," "," "," "," "," "," "," "
"122455","1","qual","1226","12","4.2"," "," "," "," "," "," "," "," "
"122458","1","cagl","1226","4.6","4.9"," "," "," "," "," "," "," "," "
"122482","1","litu","1228","14.5","2.4"," "," "," "," "," "," "," "," "
"122486","1","litu","1228","2.7","17"," "," "," "," "," "," "," "," "
"122489","1","cagl","1229","2.8","4.3"," "," "," "," "," "," "," "," "
"122490","1","quru","1229","8.9","4.2"," "," "," "," "," "," "," "," "
"122492","1","litu","1229","2.5","11.5"," "," "," "," "," "," "," "," "
"122522","1","litu","1232","3.4","17.4"," "," "," "," "," "," "," "," "
"122561","1","litu","1231","0","7.6"," "," "," "," "," "," "," "," "
"122563","2","litu","1232","1.6","3.7"," "," "," "," "," "," "," "," "
"130348","1","litu","1302","19.9","1.9"," "," "," "," "," "," "," "," "
"130718","1","litu","1306","7.3","11.3"," "," "," "," "," "," "," "," "
"130838","1","litu","1305","12.2","1"," "," "," "," "," "," "," "," "
"131009","1","quve","1308","13.9","0.7"," "," "," "," "," "," "," "," "
"131086","1","quru","1310","18.1","15.5"," "," "," "," "," "," "," "," "
"131087","1","quru","1310","17.3","17.8"," "," "," "," "," "," "," "," "
"131092","1","litu","1311","13.1","2.7"," "," "," "," "," "," "," "," "
"131096","1","litu","1311","19","4.7"," "," "," "," "," "," "," "," "
"131188","1","litu","1313","10","15.3"," "," "," "," "," "," "," "," "
"131227","1","litu","1313","17.4","13.7"," "," "," "," "," "," "," "," "
"131232","1","litu","1313","14.4","19.2"," "," "," "," "," "," "," "," "
"131233","1","litu","1313","18.3","19.6"," "," "," "," "," "," "," "," "
"131238","1","caco","1314","13.6","7.5"," "," "," "," "," "," "," "," "
"131239","1","quru","1314","19.5","5.7"," "," "," "," "," "," "," "," "
"131272","1","fram","1315","18.5","2.2"," "," "," "," "," "," "," "," "
"131352","1","fram","1316","5.5","3.3"," "," "," "," "," "," "," "," "
"131364","1","acru","1316","12","12.9"," "," "," "," "," "," "," "," "
"132028","1","fram","1317","17","6.7"," "," "," "," "," "," "," "," "
"132077","1","qual","1319","9.9","15.9"," "," "," "," "," "," "," "," "
"132171","1","litu","1320","13.7","6.7"," "," "," "," "," "," "," "," "
"132302","1","quru","1321","13","14.4"," "," "," "," "," "," "," "," "
"132311","1","qual","1322","12.9","14.2"," "," "," "," "," "," "," "," "
"132321","1","quru","1323","17.6","1"," "," "," "," "," "," "," "," "
"132371","1","quru","1325","19.9","12.9"," "," "," "," "," "," "," "," "
"132508","1","quve","1328","18.6","13.9"," "," "," "," "," "," "," "," "
"132512","1","juni","1328","11.2","18.4"," "," "," "," "," "," "," "," "
"132524","1","litu","1329","18.4","0.4"," "," "," "," "," "," "," "," "
"132525","1","fram","1329","20","1.2"," "," "," "," "," "," "," "," "
"132529","1","litu","1329","16.6","13.2"," "," "," "," "," "," "," "," "
"132539","1","litu","1331","15","15.9"," "," "," "," "," "," "," "," "
"132542","1","quve","1332","15.4","2.9"," "," "," "," "," "," "," "," "
"132545","1","litu","1332","9.5","11.2"," "," "," "," "," "," "," "," "
"140270","1","ulru","1401","0.3","18.3"," "," "," "," "," "," "," "," "
"140467","1","quve","1404","2.1","18.5"," "," "," "," "," "," "," "," "
"140609","1","litu","1403","4.3","3.6"," "," "," "," "," "," "," "," "
"140646","1","litu","1405","1","8.3"," "," "," "," "," "," "," "," "
"140736","1","quve","1407","2.4","13.6"," "," "," "," "," "," "," "," "
"140751","1","quru","1408","9.9","1.5"," "," "," "," "," "," "," "," "
"140756","1","quve","1408","1.3","6.2"," "," "," "," "," "," "," "," "
"140813","1","litu","1410","8.3","11.2"," "," "," "," "," "," "," "," "
