tag,stemtag,survey.ID,year,month,day,measure,codes
60571,1,2013.08,2013,7,1,2.43,NA
60571,1,2013.09,2013,7,15,2.95,NA
60582,1,2013.13,2013,9,9,2.87,NA
60582,1,2013.14,2013,9,23,2.94,NA
60582,1,2013.15,2013,10,9,2.96,NA
60582,1,2013.16,2013,10,29,2.96,NA
60587,1,2013.06,2013,6,3,1.47,NA
60587,1,2013.07,2013,6,17,1.51,NA
60587,1,2013.08,2013,7,1,1.83,NA
60587,1,2013.09,2013,7,15,2,NA
60587,1,2013.1,2013,7,29,2.41,NA
60587,1,2013.15,2013,10,9,2.99,NA
60587,1,2013.16,2013,10,29,2.99,NA
70356,1,2013.01,2013,3,19,1.81,B
70494,1,2013.06,2013,6,3,1.21,NA
70494,1,2013.07,2013,6,17,1.26,NA
70494,1,2013.08,2013,7,1,1.47,NA
70494,1,2013.09,2013,7,15,2.15,NA
70494,1,2013.1,2013,7,29,2.89,NA
190658,1,2013.01,2013,3,19,2.6,NA
202584,1,2013.16,2013,10,29,2.62,NA
20587,1,2014.14,2014,10,27,213.22,I
40566,1,2014.01,2014,4,1,0.95,NA
40566,1,2014.02,2014,4,14,1.06,NA
40566,1,2014.03,2014,5,1,2.61,NA
40566,1,2014.04,2014,5,13,2.3,NA
42397,1,2014.14,2014,10,27,231.7,NA
50650,1,2014.02,2014,4,14,2.94,NA
50650,1,2014.04,2014,5,13,2.79,NA
60579,1,2014.01,2014,4,1,2.75,NA
60579,1,2014.02,2014,4,14,2.79,NA
60579,1,2014.03,2014,5,1,2.82,NA
60579,1,2014.04,2014,5,13,2.26,NA
60582,1,2014.01,2014,4,1,2.25,NA
60582,1,2014.02,2014,4,14,2.5,NA
60586,1,2014.04,2014,5,13,2.9,NA
60586,1,2015.01,2015,3,22,2.18,NA
201207,1,2015.01,2015,3,22,0.96,I
92140,1,2016.01,2016,4,6,2.81,NA
92140,1,2016.15,2016,11,10,2.9,NA
50160,1,2017.12,2017,11,16,202.14,NA
70588,1,2017.01,2017,4,18,1.35,NA
90660,1,2017.06,2017,7,13,200.28,NA
30365,1,2018.01,2018,3,9,1.8,NA
40566,1,2018.06,2018,6,14,2.95,NA
40567,1,2018.02,2018,3,8,2.84,NA
40567,1,2018.03,2018,4,6,2.93,NA
40567,1,2018.04,2018,4,26,2.87,NA
60577,1,2018.01,2018,3,12,1.8,NA
60577,1,2018.02,2018,4,6,1.16,NA
60577,1,2018.03,2018,4,26,1.75,NA
60577,1,2018.04,2018,5,15,1.93,NA
60577,1,2018.05,2018,5,29,2.96,NA
70096,1,2018.06,2018,6,14,2.87,NA
70492,1,2018.09,2018,7,26,2.75,NA
70492,1,2018.1,2018,8,9,2.9,NA
70492,1,2018.11,2018,8,23,2.92,NA
70492,1,2018.13,2018,10,18,2.74,NA
70494,2,2018.09,2018,7,26,2.69,S
70494,2,2018.1,2018,8,9,2.64,S
70494,2,2018.11,2018,8,23,2.73,S
70494,2,2018.12,2018,9,28,2.81,S
70494,2,2018.13,2018,10,18,2.86,S
70581,1,2018.12,2018,9,28,2.14,NA
80615,1,2018.01,2018,3,9,1.9,NA
92140,1,2018.01,2018,3,9,2.69,NA
112142,1,2018.01,2018,3,9,0.08,NA
122121,1,2018.01,2018,3,8,2.8,NA
130718,1,2018.14,2018,11,8,218.21,RE
192674,1,2018.01,2018,3,8,2.45,NA
201207,1,2018.01,2018,3,8,1.33,I
50562,1,2019.01,2019,3,25,2.96,NA
50646,1,2019.01,2019,3,25,1.86,NA
70146,1,2019.01,2019,3,25,2.35,F
70492,1,2019.01,2019,3,25,2.02,NA
70492,1,2019.02,2019,4,11,2.03,NA
70492,1,2019.03,2019,4,25,2.33,NA
70492,1,2019.04,2019,5,9,2.45,NA
70492,1,2019.05,2019,5,22,2.23,NA
70492,1,2019.06,2019,6,4,2.94,NA
110061,1,2019.04,2019,5,9,2.18,F
110061,1,2019.05,2019,5,22,2.45,F
130718,1,2019.01,2019,3,25,2.72,F
160814,1,2019.01,2019,3,28,1.83,NA
161578,1,2019.01,2019,3,28,2.01,NA
201331,1,2019.01,2019,3,28,1.85,NA
202541,1,2019.01,2019,3,28,1.86,NA
202545,1,2019.01,2019,3,28,1.94,NA
141088,1,2020.01,2020,3,11,0,DS
160814,1,2020.01,2020,3,11,0,NA
182161,1,2020.01,2020,3,11,1.88,NA
192570,1,2020.01,2020,3,11,0,DS
202541,1,2020.01,2020,3,11,0,NA
