tag,stemtag,sp,quadrat,biannual,intraannual,cored,treeID,stemID,dendro.start.date,dendro.end.date,mortality.year,tree.notes,lx,ly,gx,gy,NAD83_X,NAD83_Y,lat,lon
40567,1,fagr,406,1,1,0,5044,5044,3-Jun-13,NA,NA,,1.6,7.2,61.59999847,107.1999969,747444.6175,4308615.038,38.89158076,-78.14700107
40568,1,fagr,406,1,1,0,5045,5045,3-Jun-13,NA,NA,,0.1,5.2,60.09999847,105.1999969,747443.1643,4308613.004,38.89156286,-78.14701854
40569,1,litu,407,1,1,0,5046,5046,3-Jun-13,NA,NA,,5.6,1.7,65.59999847,121.6999969,747448.28,4308629.627,38.89171103,-78.14695363
40635,1,cagl,408,1,0,0,5109,5109,27-Jan-10,NA,NA,,18.7,1,78.69999695,141,747460.9287,4308649.226,38.89188387,-78.1468009
40875,1,qual,412,1,1,0,5341,5341,27-Jan-10,15-Dec-11,2011,,14.4,14.4,74.40000153,234.3999939,747454.4631,4308742.501,38.89272519,-78.14684175
40941,1,litu,414,1,0,0,5402,9757,27-Jan-10,NA,NA,,6,15.4,66,255.3999939,747445.5781,4308763.3,38.8929149,-78.14693658
40942,1,acru,414,1,0,0,5403,5403,27-Jan-10,NA,NA,,2.2,2,62.20000076,262,747441.626,4308769.81,38.8929746,-78.14697975
40972,1,litu,415,1,0,0,5432,32871,24-Mar-11,NA,NA,,7.2,9.6,67.19999695,289.6000061,747445.9844,4308797.519,38.89322276,-78.14691957
42009,1,ploc,417,1,0,0,5499,5499,27-Jan-10,NA,NA,,4.1,19.2,79.5,323.7000122,747457.49,4308831.895,38.89352892,-78.14677467
42270,1,quru,424,1,1,0,5755,5755,27-Jan-10,15-Dec-11,2012,,12.3,18.6,72.30000305,478.6000061,747446.6984,4308986.587,38.89492423,-78.14684321
42397,1,quru,428,1,0,0,5881,5881,27-Jan-10,NA,NA,,10.4,5.5,70.40000153,545.5,747443.2468,4309053.424,38.89552677,-78.14685887
42562,1,quru,431,1,0,0,5942,5942,27-Jan-10,2-Nov-15,2016,,15.2,0.4,75.19999695,600.4000244,747446.7719,4309108.421,38.89602076,-78.14679845
50160,1,fram,502,1,0,0,6050,6050,27-Jan-10,NA,NA,,7.4,11,87.40000153,31,747472.1783,4308539.457,38.89089275,-78.1467109
50288,1,quru,505,1,0,0,6176,6176,27-Jan-10,NA,NA,,10.8,10.6,90.80000305,90.59999847,747474.1947,4308599.12,38.89142916,-78.14666618
50364,1,qual,507,1,1,0,6249,6249,27-Jan-10,NA,NA,,4.2,18.1,84.19999695,138.1000061,747466.4945,4308646.454,38.89185735,-78.1467378
50650,1,litu,514,1,1,0,6521,6521,3-Jun-13,NA,NA,,19.5,14.9,99.5,274.8999939,747478.6167,4308783.572,38.89308805,-78.14654877
50654,1,litu,514,1,1,0,6525,6525,3-Jun-13,NA,NA,,17.2,19.1,97.19999695,279.1000061,747476.2199,4308787.718,38.89312603,-78.14657488
52087,1,quru,519,1,0,0,6638,6638,27-Jan-10,NA,NA,,1.1,11.1,81.09999847,371.1000061,747457.9899,4308879.32,38.89395561,-78.14675182
52190,1,quru,522,1,1,0,6741,6741,27-Jan-10,NA,NA,,16.4,3.4,96.40000153,423.3999939,747472.0725,4308931.96,38.89442543,-78.14657066
52276,1,quve,525,1,0,1,6826,6826,27-Jan-10,18-Apr-17,2017,,7.3,10.7,87.30000305,490.7000122,747461.4136,4308999.031,38.89503209,-78.14666924
60161,1,qupr,608,1,0,1,7163,7163,27-Jan-10,NA,NA,,17.5,14.1,117.5,151.6999969,747499.47,4308660.823,38.89197739,-78.14635285
60414,1,quru,611,1,1,0,7401,7401,27-Jan-10,15-Dec-11,2012,,4.2,0,104.1999969,200,747485.0531,4308708.802,38.89241327,-78.1465016
60456,1,caca,614,1,1,0,7441,7441,3-Jun-13,NA,NA,,5.3,15,105.3000031,275,747484.4129,4308783.807,38.89308853,-78.14648194
60457,1,caca,614,1,1,0,7442,7442,3-Jun-13,NA,NA,,4,15.2,104,275.2000122,747483.1086,4308783.977,38.89309042,-78.1464969
60458,1,fagr,615,1,1,0,7443,7443,3-Jun-13,NA,NA,,1.9,0,101.9000015,280,747480.8978,4308788.727,38.8931338,-78.14652064
60459,1,fagr,615,1,1,0,7444,7444,3-Jun-13,NA,NA,,2,3,102,283,747480.9281,4308791.728,38.8931608,-78.14651921
60462,1,fagr,615,1,1,0,7447,7447,3-Jun-13,NA,NA,,5.6,7.6,105.5999985,287.6000061,747484.4205,4308796.41,38.89320196,-78.14647731
60463,1,juni,615,1,1,0,7448,7448,3-Jun-13,NA,NA,,7.2,8,107.1999969,288,747486.0107,4308796.847,38.89320545,-78.14645883
60468,1,caca,615,1,1,0,7453,7453,3-Jun-13,NA,NA,,5.4,9.6,105.4000015,289.6000061,747484.1741,4308798.405,38.89321998,-78.14647942
60469,1,cofl,615,1,1,0,7454,7454,3-Jun-13,NA,NA,,6.8,9.8,106.8000031,289.7999878,747485.5691,4308798.638,38.89322168,-78.14646327
60562,1,fagr,614,1,1,0,7541,7541,3-Jun-13,NA,NA,,19,8.7,119,268.7000122,747498.2553,4308777.826,38.8930308,-78.14632467
60563,1,caca,614,1,1,0,7542,7542,3-Jun-13,NA,NA,,14.2,13.2,114.1999969,273.2000122,747493.3522,4308782.214,38.89307167,-78.14637956
60566,1,fagr,614,1,1,0,7545,7545,3-Jun-13,NA,NA,,10,11,110,271,747489.2044,4308779.917,38.89305217,-78.14642815
60567,1,litu,614,1,1,0,7546,7546,3-Jun-13,NA,NA,,11.6,11.2,111.5999985,271.2000122,747490.7993,4308780.154,38.89305385,-78.1464097
60568,1,caca,614,1,1,0,7547,7547,3-Jun-13,NA,NA,,15.5,15.6,115.5,275.6000061,747494.5962,4308784.643,38.89309319,-78.14636436
60569,1,caca,614,1,1,0,7548,7548,3-Jun-13,NA,NA,,19.4,16.2,119.4000015,276.2000122,747498.4812,4308785.334,38.8930983,-78.14631936
60570,1,caco,614,1,1,0,7549,7549,3-Jun-13,18-Apr-17,2017,,15.2,16.7,115.1999969,276.7000122,747494.2707,4308785.736,38.89310311,-78.14636771
60571,1,caca,614,1,1,0,7550,7550,3-Jun-13,NA,NA,,12,17.4,112,277.3999939,747491.0554,4308786.362,38.89310965,-78.14640451
60573,1,tiam,614,1,1,0,7552,7552,3-Jun-13,NA,NA,,8.5,16.3,108.5,276.2999878,747487.5818,4308785.181,38.8931,-78.14644494
60576,1,caca,615,1,1,0,7555,7555,3-Jun-13,NA,NA,,17.1,1,117.0999985,281,747496.0705,4308790.079,38.89314169,-78.14634542
60577,1,litu,615,1,1,0,7556,7556,3-Jun-13,NA,NA,,12.7,1.4,112.6999969,281.3999939,747491.6624,4308790.377,38.89314562,-78.14639608
60578,1,caca,615,1,1,0,7557,7557,3-Jun-13,NA,NA,,13.2,9.9,113.1999969,289.8999939,747491.9651,4308798.886,38.89322212,-78.14638952
60579,1,caca,615,1,1,0,7558,7558,3-Jun-13,10-Nov-16,2017,,16.8,4,116.8000031,284,747495.701,4308793.071,38.89316873,-78.14634859
60581,1,litu,615,1,1,0,7560,7560,3-Jun-13,NA,NA,,19.8,9.3,119.8000031,289.2999878,747498.5772,4308798.439,38.89321623,-78.14631353
60582,1,quru,615,1,1,0,7561,7561,3-Jun-13,NA,NA,,20,10.2,120,290.2000122,747498.7563,4308799.344,38.89322432,-78.14631115
60586,1,caca,615,1,1,0,7565,7565,3-Jun-13,NA,NA,,16.2,9.3,116.1999969,289.2999878,747494.9782,4308798.356,38.8932165,-78.14635501
60587,1,caca,615,1,1,0,7566,7566,3-Jun-13,NA,NA,,14,9.8,114,289.7999878,747492.7672,4308798.805,38.89322116,-78.14638032
60588,1,caco,615,1,1,0,7567,7567,3-Jun-13,NA,NA,,13.4,7.3,113.4000015,287.2999878,747492.2253,4308796.291,38.89319869,-78.14638746
62128,1,quru,620,1,1,0,7706,7706,27-Jan-10,NA,NA,,8,0.8,108,380.7999878,747484.6576,4308889.641,38.894041,-78.14644097
62181,1,quve,621,1,0,0,7759,7759,27-Jan-10,NA,NA,,8.8,13.5,108.8000031,413.5,747484.6988,4308922.351,38.89433538,-78.14642871
62224,1,litu,622,1,1,0,7801,7801,27-Jan-10,NA,NA,,3.2,17.3,103.1999969,437.2999878,747478.5482,4308946.014,38.8945501,-78.14649101
62241,1,litu,623,1,0,0,7818,7818,27-Jan-10,NA,NA,,13.9,0.7,113.9000015,440.7000122,747489.1664,4308949.662,38.89457993,-78.14636741
62417,1,quve,630,1,0,0,7992,7992,27-Jan-10,NA,NA,,8.9,17,108.9000015,597,747480.5417,4309105.804,38.89598769,-78.14641046
62449,1,qual,632,1,0,0,8020,8020,27-Jan-10,NA,NA,,18.7,3.9,118.6999969,623.9000244,747489.715,4309132.924,38.8962292,-78.14629503
62454,1,quve,632,1,0,0,8025,8025,27-Jan-10,NA,NA,,14.7,18.8,114.6999969,638.7999878,747485.3704,4309147.727,38.89636365,-78.14633973
70096,1,quru,704,1,1,1,8126,8126,27-Jan-10,NA,NA,,3.3,12.7,123.3000031,72.69999695,747507.1012,4308581.979,38.89126562,-78.14629339
70126,1,quru,705,1,1,1,8152,8152,24-Mar-11,NA,NA,,9.3,12.5,129.3000031,92.5,747512.6403,4308601.913,38.89144347,-78.14622241
70181,1,litu,707,1,0,0,8200,8200,27-Jan-10,NA,NA,,13.3,17.2,132.1000061,139,747514.3608,4308648.465,38.89186197,-78.14618582
70216,1,quve,701,1,0,0,8234,8234,27-Jan-10,NA,NA,,18.7,11.6,138.6999969,11.60000038,747523.9146,4308521.253,38.89071433,-78.14612165
70220,1,qual,702,1,1,0,8238,8238,27-Jan-10,NA,NA,,18.3,0.8,138.3000031,20.79999924,747523.3012,4308530.441,38.8907972,-78.1461254
70278,1,qupr,704,1,0,0,8293,8293,27-Jan-10,NA,NA,,15.6,15.4,135.6000061,75.40000153,747519.3353,4308584.964,38.89128903,-78.14615142
70292,1,cagl,705,1,0,0,8303,8303,27-Jan-10,NA,NA,,14.6,2.1,134.6000061,82.09999847,747518.1801,4308591.639,38.89134944,-78.14616232
70352,1,litu,707,1,0,0,8357,8357,27-Jan-10,NA,NA,,20,11,138.5,131,747520.9446,4308640.616,38.89178947,-78.14611282
70356,1,caca,707,1,0,0,8361,8361,27-Jan-10,18-Apr-17,2017,,17.5,17.7,137.5,137.6999969,747519.7895,4308647.291,38.89184987,-78.14612372
70357,1,cagl,708,1,0,0,8362,8362,27-Jan-10,NA,NA,,7.6,18.4,139.6999969,140.1000061,747521.9332,4308649.741,38.89187132,-78.14609815
70358,1,litu,708,1,0,0,8363,8363,27-Jan-10,NA,NA,,18.1,2.3,138.3999939,142,747520.5894,4308651.611,38.89188853,-78.14611295
70433,1,litu,710,1,0,1,8436,8436,27-Jan-10,NA,NA,,11.4,13.8,131.3999939,193.8000031,747512.3896,4308703.234,38.89235547,-78.14618878
70492,1,nysy,714,1,1,0,8495,8495,3-Jun-13,NA,NA,,0.1,11.2,120.0999985,271.2000122,747499.297,4308780.351,38.89305323,-78.14631176
70493,1,litu,714,1,1,0,8496,8496,3-Jun-13,NA,NA,,0.3,15.2,120.3000031,275.2000122,747499.4042,4308784.355,38.89308923,-78.14630909
70494,1,caca,714,1,1,0,181,181,3-Jun-13,NA,NA,,0.4,15.7,120.4000015,275.7000122,747499.4926,4308784.857,38.89309373,-78.14630789
70494,2,caca,714,1,1,0,181,31371,3-Jun-13,NA,NA,,0.4,15.7,120.4000015,275.7000122,747499.4926,4308784.857,38.89309373,-78.14630789
70495,1,caca,714,1,1,0,8497,8497,3-Jun-13,NA,NA,,1.7,18.6,121.6999969,278.6000061,747500.7249,4308787.786,38.89311975,-78.14629264
70519,1,qual,711,1,1,1,8520,8520,27-Jan-10,NA,NA,,15.5,3.3,135.5,203.3000031,747516.2681,4308712.827,38.89244071,-78.14614065
70536,1,qual,711,1,1,1,8537,8537,27-Jan-10,NA,NA,,11.9,7.4,131.8999939,207.3999939,747512.574,4308716.842,38.89247789,-78.14618175
70579,1,caco,714,1,0,0,8578,8578,27-Jan-10,NA,NA,,19.2,4.3,139.1999969,264.2999878,747518.552,4308773.896,38.89298971,-78.14609234
70581,1,quru,714,1,1,0,8580,8580,27-Jan-10,NA,NA,,13.7,1.2,133.6999969,261.2000122,747513.1254,4308770.669,38.8929622,-78.146156
70588,1,quve,714,1,0,0,8587,8587,27-Jan-10,18-Apr-17,2017,,16.2,5.2,136.1999969,265.2000122,747515.5319,4308774.726,38.89299803,-78.14612682
72024,1,quve,717,1,0,0,8670,8670,27-Jan-10,NA,NA,,20,9.6,140,329.6000061,747517.8368,4308839.197,38.89357764,-78.14607703
72115,1,litu,719,1,0,0,8760,8760,27-Jan-10,NA,NA,,11.2,10.7,131.1999969,370.7000122,747508.0857,4308880.082,38.89394836,-78.1461746
72116,1,litu,719,1,1,0,8761,8761,27-Jan-10,NA,NA,,14.4,10.8,134.3999939,370.7999878,747511.2825,4308880.256,38.89394903,-78.14613772
72122,1,caca,719,1,0,0,8767,8767,27-Jan-10,NA,NA,,19.9,19,139.8999939,379,747516.5908,4308888.582,38.89402247,-78.14607358
72124,1,quru,719,1,1,0,8769,8769,27-Jan-10,NA,NA,,12.5,19.4,132.5,379.3999939,747509.1835,4308888.81,38.89402661,-78.14615881
72149,1,litu,720,1,0,0,8794,8794,27-Jan-10,NA,NA,,13.8,0.7,133.8000031,380.7000122,747510.453,4308890.14,38.89403822,-78.14614371
72210,1,qual,721,1,1,0,8853,8853,27-Jan-10,NA,NA,,5.2,11.5,125.1999969,411.5,747501.1408,4308920.732,38.89431618,-78.14623993
72232,1,qual,722,1,0,1,8875,8875,27-Jan-10,NA,NA,,14.5,12.6,134.5,432.6000061,747509.9488,4308942.042,38.8945055,-78.1461308
72248,1,caco,723,1,0,0,8890,8890,27-Jan-10,NA,NA,,15,0.3,135,440.2999878,747510.27,4308949.751,38.8945748,-78.14612432
72308,1,qual,725,1,1,0,8948,8948,27-Jan-10,NA,NA,,15.2,13.3,135.1999969,493.2999878,747509.2404,4309002.742,38.89505202,-78.14611708
72322,1,litu,726,1,0,0,8962,8962,27-Jan-10,NA,NA,,18.1,0.3,138.1000061,500.2999878,747511.9772,4309009.807,38.89511484,-78.14608301
72324,1,litu,726,1,1,0,8964,8964,27-Jan-10,NA,NA,,14.4,6.6,134.3999939,506.6000061,747508.1321,4309016.02,38.89517183,-78.14612506
72337,1,quru,727,1,1,0,8977,8977,27-Jan-10,NA,NA,,7.9,2.6,127.9000015,522.5999756,747501.2626,4309031.865,38.89531638,-78.14619846
72348,1,quru,727,1,1,0,8988,8988,27-Jan-10,NA,NA,,12,15.1,132,535.0999756,747505.0715,4309044.456,38.89542863,-78.14615006
72357,1,quru,728,1,1,0,8997,8997,27-Jan-10,NA,NA,,1.7,2,121.6999969,542,747494.6142,4309051.115,38.89549151,-78.14626809
72375,1,litu,728,1,0,0,9015,9015,27-Jan-10,NA,NA,,13.7,17.1,133.6999969,557.0999756,747506.2607,4309066.49,38.89562661,-78.14612842
72377,1,litu,728,1,0,0,9016,9016,27-Jan-10,NA,NA,,10.6,16.1,130.6000061,556.0999756,747503.1847,4309065.418,38.89561783,-78.14616423
72408,1,qual,730,1,1,0,9047,9047,27-Jan-10,15-Dec-11,2011,,4.8,9.9,124.8000031,589.9000244,747496.6022,4309099.075,38.8959226,-78.14622791
72427,1,litu,730,1,1,0,9066,9066,27-Jan-10,NA,NA,,3.6,19.4,123.5999985,599.4000244,747495.1821,4309108.544,38.89600823,-78.14624085
72447,1,litu,732,1,0,0,9085,9085,27-Jan-10,NA,NA,,14.9,4.1,134.8999939,624.0999756,747505.906,4309133.5,38.89622982,-78.14610834
72448,1,litu,732,1,0,0,9086,9086,27-Jan-10,NA,NA,,18.9,4.7,138.8999939,624.7000122,747509.891,4309134.192,38.89623493,-78.1460622
72452,1,quve,732,1,0,0,9090,9090,27-Jan-10,15-Jan-11,2011,,16.4,11.8,136.3999939,631.7999878,747507.227,4309141.232,38.89629904,-78.14609034
72460,1,quru,732,1,0,0,9098,9098,15-Mar-12,18-Apr-17,2017,,9.1,15.6,129.1000061,635.5999756,747499.8408,4309144.862,38.89633379,-78.1461741
80005,1,fram,801,1,0,0,9107,9107,27-Jan-10,NA,NA,,1.9,12.4,141.8999939,12.39999962,747527.0951,4308522.127,38.8907213,-78.1460847
80100,1,litu,804,1,0,0,9197,9197,27-Jan-10,NA,NA,,3.4,12.6,142.3999939,70.80000305,747526.2402,4308580.523,38.89124712,-78.1460735
80180,1,cato,804,1,0,0,9268,9268,27-Jan-10,NA,NA,,11.6,5.6,155.8999939,65.30000305,747539.8641,4308575.337,38.89119661,-78.14591847
80398,1,caco,807,1,0,1,9474,9474,27-Jan-10,NA,NA,,1.8,19.6,140.1999969,139.6999969,747522.4423,4308649.353,38.89186768,-78.14609243
80401,1,caco,807,1,0,0,9477,9477,27-Jan-10,NA,NA,,7.4,19.4,147.3999939,139.6000061,747529.6427,4308649.42,38.89186626,-78.14600948
80491,1,quru,809,1,0,1,9567,9567,27-Jan-10,29-Oct-13,2015,"band missing in 2014, not considered dead until 2015",5.2,17.7,145.1999969,177.6999969,747526.5594,4308687.459,38.89220949,-78.14603128
80554,1,caovl,813,1,0,1,9630,9630,27-Jan-10,NA,NA,,6.9,11.2,146.8999939,251.1999969,747526.5538,4308760.978,38.89287119,-78.14600484
80559,1,nysy,813,1,0,0,9635,9635,27-Jan-10,NA,NA,,8.9,17.8,148.8999939,257.7999878,747528.4001,4308767.623,38.89293047,-78.14598118
80614,1,caco,810,1,0,0,9686,9686,27-Jan-10,18-Apr-17,2017,,1.9,18.2,141.8999939,198.1999969,747522.7847,4308707.877,38.89239432,-78.14606739
80615,1,litu,810,1,0,0,9687,9687,27-Jan-10,NA,NA,,4.4,16.8,144.3999939,196.8000031,747525.3165,4308706.535,38.89238153,-78.14603871
80628,1,quru,811,1,1,0,9700,9700,27-Jan-10,NA,NA,,7.5,3,147.5,203,747528.2718,4308712.805,38.89243713,-78.14600242
80631,1,litu,811,1,0,0,9703,9703,27-Jan-10,NA,NA,,0.2,6.1,140.1999969,206.1000061,747520.9019,4308715.735,38.89246558,-78.14608624
82125,1,cagl,819,1,0,0,9972,9972,27-Jan-10,NA,NA,,1.6,14.3,141.6000061,374.2999878,747518.3994,4308883.922,38.89398002,-78.14605443
82138,1,quru,820,1,0,1,9984,9984,27-Jan-10,NA,NA,,1.1,2.7,141.1000061,382.7000122,747517.7047,4308892.308,38.8940557,-78.14605941
82203,1,litu,822,1,1,0,10045,10045,27-Jan-10,NA,NA,,8,9.4,148,429.3999939,747523.5194,4308939.156,38.8944757,-78.14597555
82223,1,litu,822,1,0,0,10065,10065,27-Jan-10,NA,NA,,0.5,17.7,140.5,437.7000122,747515.8289,4308947.28,38.89455098,-78.14606119
82226,1,litu,823,1,0,0,10068,10068,27-Jan-10,NA,NA,,2,4,142,444,747517.1823,4308953.613,38.8946076,-78.14604332
82284,1,quve,825,1,0,0,10124,10124,27-Jan-10,NA,NA,,1.3,12,141.3000031,492,747515.3689,4309001.584,38.89503987,-78.14604691
82292,1,litu,826,1,0,0,10132,10132,27-Jan-10,NA,NA,,1.8,0.4,141.8000031,500.3999939,747515.6739,4309009.993,38.89511547,-78.14604037
82298,1,litu,826,1,0,0,10138,10138,27-Jan-10,NA,NA,,0.3,5.1,140.3000031,505.1000061,747514.0653,4309014.657,38.8951579,-78.14605722
82326,1,quve,827,1,0,0,10165,10165,27-Jan-10,NA,NA,,14.6,8.3,154.6000061,528.2999878,747527.8232,4309038.182,38.89536576,-78.14589028
82357,1,litu,828,1,0,0,10196,10196,27-Jan-10,NA,NA,,4,13.8,144,553.7999878,747516.6345,4309063.43,38.89559614,-78.14601004
82360,1,litu,829,1,1,0,10198,10198,27-Jan-10,NA,NA,,2.3,0.7,142.3000031,560.7000122,747514.7749,4309070.288,38.8956584,-78.14602899
82365,1,qual,829,1,1,0,10203,10203,27-Jan-10,NA,NA,,4.9,4.7,144.8999939,564.7000122,747517.2814,4309074.348,38.89569423,-78.14599866
82368,1,litu,829,1,0,1,10206,10206,27-Jan-10,NA,NA,,16.8,3.4,156.8000031,563.4000244,747529.2083,4309073.324,38.89568165,-78.14586166
82419,1,litu,831,1,0,0,10257,10257,27-Jan-10,NA,NA,,3.3,10,143.3000031,610,747514.6309,4309119.598,38.89610224,-78.14601287
